DateTime,AddedIPs,RemovedIPs
1508783054,9,10
1508783770,12,16
1508784511,13,20
1508785210,7,17
1508785947,7,0
1508786673,16,18
1508787377,11,5
1508788361,19,11
1508789316,5,17
1508790514,26,27
1508791232,13,9
1508792192,23,16
1508793160,8,29
1508793852,7,10
1508794476,15,0
1508795546,10,10
1508796266,10,13
1508797292,19,28
1508798200,10,13
1508798895,10,6
1508799624,21,18
1508800338,18,0
1508801070,9,16
1508802035,14,16
1508802739,10,0
1508803462,4,7
1508804225,9,15
1508805147,6,11
1508806111,17,9
1508807320,21,17
1508808299,18,12
1508809230,15,10
1508809940,14,16
1508810901,20,23
1508811624,11,9
1508812344,11,5
1508813053,17,9
1508813770,15,8
1508814746,9,28
1508815455,8,8
1508816191,14,6
1508816901,13,0
1508817635,10,12
1508818343,9,8
1508819057,16,0
1508819772,7,6
1508820498,6,6
1508821226,8,14
1508821954,7,3
1508822650,7,0
1508823369,3,6
1508824098,5,4
1508824826,12,3
1508825544,15,19
1508826495,17,8
1508827210,9,8
1508827935,10,15
1508829651,16,19
1508830596,8,7
1508831306,7,9
1508832054,5,9
1508832996,9,7
1508833955,17,8
1508834650,9,8
1508835382,11,5
1508836097,8,7
1508836814,15,7
1508837533,10,6
1508838259,11,11
1508838970,9,8
1508839718,8,0
1508840422,8,18
1508841152,11,0
1508842105,10,23
1508842817,9,0
1508843547,6,11
1508844257,6,9
1508844978,10,6
1508845974,12,8
1508846669,9,0
1508847383,4,9
1508848357,12,20
1508849305,10,2
1508850025,8,17
1508850747,4,0
1508851466,10,14
1508852436,5,6
1508853149,12,9
1508853886,5,7
1508854575,12,5
1508855292,11,10
1508856022,13,8
1508856733,11,9
1508857730,12,12
1508858411,13,13
1508859138,10,15
1508859863,11,8
1508860571,5,7
1508861658,18,27
1508862587,11,9
1508863325,129,9
1508863949,84,6
1508864673,8,6
1508865402,19,13
1508866472,19,7
1508867429,16,16
1508868379,6,14
1508870925,36,42
1508872089,17,7
1508872863,9,11
1508873557,15,6
1508874527,13,21
1508875227,9,3
1508875957,13,40
1508876917,15,12
1508877861,13,15
1508878855,14,11
1508879804,13,16
1508880762,19,11
1508881450,7,12
1508882195,8,15
1508882904,7,12
1508883616,7,0
1508884451,9,8
1508885555,14,23
1508886645,8,20
1508887459,21,8
1508888447,10,22
1508889409,8,5
1508890584,16,17
1508891311,16,11
1508892006,8,14
1508892732,11,17
1508893723,7,18
1508894655,12,0
1508895382,6,11
1508896106,17,13
1508897067,12,27
1508898043,17,11
1508898993,14,16
1508899949,17,8
1508900771,10,9
1508901393,9,11
1508902356,8,9
1508903053,12,13
1508903792,15,10
1508904499,10,6
1508905465,14,24
1508906186,10,7
1508906906,11,6
1508907618,8,0
1508908334,7,16
1508909050,5,9
1508909798,14,10
1508910503,8,13
1508911224,5,0
1508911837,4,7
1508912658,15,11
1508913628,13,11
1508914442,5,30
1508915063,3,0
1508915792,9,0
1508916504,9,8
1508917458,11,8
1508918181,9,8
1508918907,7,13
1508919609,6,15
1508920353,7,0
1508921316,19,21
1508922270,16,11
1508922990,8,10
1508923704,11,12
1508924410,7,5
1508925153,8,4
1508926108,16,6
1508927072,17,22
1508928029,17,12
1508928740,12,7
1508929485,4,9
1508930175,18,5
1508930892,6,8
1508931871,17,12
1508932603,11,6
1508933309,9,11
1508934020,7,12
1508934737,9,0
1508935711,12,21
1508936679,7,5
1508937627,9,12
1508938590,13,11
1508939544,9,12
1508940521,10,11
1508941209,9,4
1508941938,5,4
1508942654,12,7
1508943386,11,16
1508944355,8,11
1508945049,11,11
1508945883,8,7
1508947974,27,22
1508948899,14,8
1508949632,13,7
1508950345,11,13
1508951059,1,14
1508951801,13,21
1508952497,14,14
1508953226,20,12
1508954206,8,15
1508955147,13,26
1508956099,10,0
1508956817,7,0
1508957549,18,25
1508958257,1,0
1508958980,11,11
1508959958,16,30
1508960656,9,0
1508961374,7,14
1508962087,9,14
1508962832,12,23
1508963798,15,14
1508964489,17,15
1508965239,8,0
1508965942,9,21
1508966653,8,14
1508967633,11,10
1508968339,2,9
1508969068,10,12
1508969776,7,9
1508970493,9,12
1508971475,11,7
1508972168,8,13
1508972897,7,0
1508973608,11,8
1508974353,5,5
1508975308,9,7
1508976028,9,7
1508977016,12,10
1508977688,2,0
1508978427,7,22
1508979142,6,12
1508980865,16,13
1508981541,12,12
1508982256,15,15
1508982971,11,19
1508983687,13,11
1508984433,11,0
1508985148,6,11
1508985853,8,19
1508986575,9,21
1508987315,11,6
1508988023,9,15
1508988744,8,0
1508989703,11,23
1508990440,9,5
1508991146,13,19
1508991853,8,0
1508992826,10,12
1508993539,5,7
