DateTime,AddedIPs,RemovedIPs
1508783054,64,119
1508783770,118,46
1508784511,60,58
1508785210,54,59
1508785947,46,52
1508786673,68,62
1508787377,49,39
1508788361,58,72
1508789316,39,35
1508790514,97,102
1508791232,64,53
1508792192,75,78
1508793160,63,44
1508793852,40,68
1508794476,68,43
1508795546,42,59
1508796266,45,58
1508797292,64,103
1508798200,77,46
1508798895,44,64
1508799624,63,49
1508800338,66,65
1508801070,44,60
1508802035,71,74
1508802739,65,56
1508803462,33,32
1508804225,55,73
1508805147,46,40
1508806111,66,66
1508807320,73,64
1508808299,64,90
1508809230,59,59
1508809940,59,49
1508810901,60,74
1508811624,48,56
1508812344,63,65
1508813053,71,54
1508813770,60,58
1508814746,56,39
1508815455,47,43
1508816191,45,47
1508816901,52,64
1508817635,62,106
1508818343,99,49
1508819057,69,70
1508819772,56,42
1508820498,46,77
1508821226,69,41
1508821954,49,71
1508822650,56,48
1508823369,55,45
1508824098,48,46
1508824826,56,85
1508825544,86,46
1508826495,62,66
1508827210,54,66
1508827935,63,56
1508829651,82,89
1508830596,65,70
1508831306,55,50
1508832054,49,51
1508832996,50,77
1508833955,87,55
1508834650,43,119
1508835382,101,160
1508836097,138,116
1508836814,121,51
1508837533,73,83
1508838259,76,50
1508838970,65,52
1508839718,54,44
1508840422,53,39
1508841152,39,49
1508842105,57,53
1508842817,32,80
1508843547,70,45
1508844257,48,69
1508844978,82,42
1508845974,51,56
1508846669,61,54
1508847383,58,59
1508848357,70,66
1508849305,64,88
1508850025,59,50
1508850747,43,43
1508851466,71,58
1508852436,41,46
1508853149,60,114
1508853886,91,40
1508854575,60,52
1508855292,43,46
1508856022,59,56
1508856733,57,45
1508857730,70,74
1508858411,60,54
1508859138,47,51
1508859863,57,56
1508860571,59,39
1508861658,70,77
1508862587,68,56
1508863325,184,38
1508863949,127,47
1508864673,36,53
1508865402,85,71
1508866472,67,64
1508867429,64,72
1508868379,63,69
1508870925,124,102
1508872089,69,96
1508872863,61,55
1508873557,73,53
1508874527,70,80
1508875227,54,70
1508875957,69,59
1508876917,75,73
1508877861,52,59
1508878855,65,70
1508879804,57,90
1508880762,69,68
1508881450,51,50
1508882195,43,50
1508882904,46,47
1508883616,36,63
1508884451,61,69
1508885555,58,71
1508886645,66,63
1508887459,90,42
1508888447,51,48
1508889409,45,50
1508890584,81,82
1508891311,71,69
1508892006,48,55
1508892732,57,44
1508893723,43,100
1508894655,112,66
1508895382,34,57
1508896106,60,81
1508897067,73,55
1508898043,66,59
1508898993,57,67
1508899949,66,80
1508900771,68,84
1508901393,72,71
1508902356,81,68
1508903053,79,54
1508903792,46,80
1508904499,67,41
1508905465,55,63
1508906186,49,43
1508906906,38,41
1508907618,40,47
1508908334,54,49
1508909050,37,57
1508909798,75,51
1508910503,45,73
1508911224,71,55
1508911837,51,37
1508912658,64,83
1508913628,70,84
1508914442,57,50
1508915063,43,55
1508915792,50,67
1508916504,79,57
1508917458,80,90
1508918181,73,61
1508918907,66,59
1508919609,62,49
1508920353,44,84
1508921316,96,52
1508922270,76,64
1508922990,54,51
1508923704,55,135
1508924410,132,35
1508925153,45,54
1508926108,77,74
1508927072,81,63
1508928029,77,65
1508928740,62,69
1508929485,44,39
1508930175,65,67
1508930892,55,46
1508931871,63,60
1508932603,51,100
1508933309,99,97
1508934020,81,48
1508934737,58,59
1508935711,75,59
1508936679,46,37
1508937627,56,80
1508938590,74,60
1508939544,57,80
1508940521,72,55
1508941209,55,65
1508941938,65,49
1508942654,64,40
1508943386,47,77
1508944355,91,73
1508945049,91,59
1508945883,58,47
1508947974,91,97
1508948899,61,81
1508949632,81,70
1508950345,77,49
1508951059,42,46
1508951801,62,79
1508952497,90,51
1508953226,78,74
1508954206,65,68
1508955147,73,106
1508956099,80,85
1508956817,68,177
1508957549,172,81
1508958257,65,44
1508958980,70,84
1508959958,85,66
1508960656,56,89
1508961374,86,63
1508962087,64,54
1508962832,52,79
1508963798,84,88
1508964489,86,61
1508965239,59,63
1508965942,55,71
1508966653,48,61
1508967633,67,57
1508968339,25,35
1508969068,51,71
1508969776,51,75
1508970493,61,60
1508971475,75,90
1508972168,62,41
1508972897,37,57
1508973608,54,80
1508974353,90,55
1508975308,67,75
1508976028,44,56
1508977016,73,73
1508977688,44,26
1508978427,44,51
1508979142,35,59
1508980865,75,64
1508981541,45,78
1508982256,73,69
1508982971,51,143
1508983687,145,38
1508984433,34,44
1508985148,39,60
1508985853,57,32
1508986575,38,50
1508987315,52,37
1508988023,36,45
1508988744,40,54
1508989703,55,91
1508990440,106,42
1508991146,58,33
1508991853,29,52
1508992826,64,52
1508993539,35,40
1508994518,45,57
1508995469,47,44
1508996433,66,60
1508997166,52,50
1508997864,41,44
1508998574,42,58
1508999291,57,57
1509000019,73,51
1509000742,42,51
1509001457,34,27
1509002209,41,56
1509003153,52,44
1509003858,65,49
1509004570,43,38
1509005288,43,37
1509006044,44,53
1509006747,45,36
1509007462,46,51
1509008179,39,44
1509008903,45,38
1509009869,70,37
1509010828,51,57
1509011537,42,62
1509012274,38,30
1509012976,57,58
1509013712,45,74
1509014669,75,38
1509015643,56,53
1509016344,38,65
1509017054,53,37
1509017770,37,40
1509018497,44,52
1509019221,52,40
1509019942,48,54
1509020651,47,58
1509021411,63,49
1509022352,61,35
1509023057,45,53
1509023797,56,59
1509024499,69,53
1509025241,55,80
1509026185,80,75
1509027153,61,62
1509027849,58,37
1509028573,51,43
1509029295,42,51
1509030031,47,56
1509030741,32,35
1509031465,53,42
1509032169,77,58
1509033160,55,58
1509033860,43,54
1509034594,57,41
1509035300,54,45
1509036260,66,43
1509036989,33,78
1509037703,74,61
1509038409,56,71
1509039135,71,47
1509039863,71,39
1509040913,73,75
1509041799,58,86
1509042762,98,65
1509043449,55,62
1509044184,69,55
1509044811,53,74
1509045612,63,62
1509046600,75,77
1509047547,69,69
1509048520,69,62
1509049223,59,53
1509049947,59,67
1509050668,71,76
1509051371,47,73
1509052365,59,65
1509053296,47,55
1509054016,45,49
1509055054,76,81
1509056162,53,80
1509056792,68,51
1509057738,55,41
1509058700,54,52
1509061481,91,141
1509062397,50,58
1509063168,66,66
1509063872,37,58
1509065055,75,73
1509066011,50,74
1509066966,66,38
1509067931,53,53
1509069137,67,89
1509069858,55,58
1509070599,45,51
1509071298,52,38
1509072136,54,47
1509072987,56,51
1509073950,59,52
1509074901,41,48
1509075607,41,43
1509076346,78,152
1509077067,126,36
1509077790,63,66
1509078506,45,51
1509079227,55,71
1509080307,56,60
1509081168,64,59
1509082107,53,57
1509082808,64,46
1509083546,45,52
1509084256,80,45
1509085005,47,73
1509085956,58,62
1509086651,62,82
1509087386,67,42
1509088347,54,66
1509088960,54,68
1509089797,86,70
1509090506,70,50
1509091227,46,59
1509091959,62,67
1509092657,85,57
1509093628,59,49
1509094367,74,55
1509095071,37,52
1509095803,82,71
1509096511,56,52
1509097458,68,56
1509098440,61,77
1509099395,73,49
1509100090,62,67
1509100831,50,53
1509101538,52,66
1509102263,51,33
1509103233,55,67
1509103947,58,90
1509104668,73,56
1509105634,52,82
1509106609,116,59
1509107315,49,51
1509108034,61,64
1509108747,78,63
1509109458,38,51
1509110180,78,57
1509111153,71,164
1509111857,141,62
1509112583,74,56
1509113554,55,68
1509114251,62,53
1509114993,53,54
1509115700,70,68
1509116450,61,80
1509117142,71,39
1509117866,54,45
1509118570,76,94
1509119300,82,68
1509120024,67,47
1509120746,43,59
1509121702,83,80
1509122408,75,49
1509123154,54,75
1509123858,69,61
1509124579,69,90
1509125288,98,64
1509126031,144,72
1509126742,88,60
1509127466,67,68
1509128175,72,67
1509128896,70,69
1509129876,79,73
1509130569,44,58
1509131294,58,79
1509132026,70,51
1509132759,61,62
1509133708,79,81
1509134439,63,63
1509135146,65,56
1509135854,59,63
1509136572,54,72
1509137299,79,65
1509138287,53,46
1509138975,74,57
1509139694,50,75
1509140409,63,60
1509141151,61,67
1509142130,78,74
1509142908,34,69
1509143802,74,66
1509144752,64,74
1509145459,61,60
1509146188,57,77
1509146899,78,114
1509147636,84,52
1509148328,53,58
1509149066,41,63
1509149774,70,37
1509150765,68,77
1509151453,57,43
1509152186,37,81
1509152907,67,62
1509153619,60,51
1509154617,66,62
1509155552,75,101
1509156513,85,67
1509157222,54,46
1509157954,56,55
1509158653,67,61
1509159395,55,50
1509160348,63,64
1509161051,51,43
1509161776,50,53
1509162493,60,59
1509163239,49,52
1509163942,46,45
1509164651,53,47
1509165634,59,65
1509166344,48,38
1509167071,50,53
1509168033,45,49
1509168743,42,46
1509169473,56,67
1509170167,61,61
1509170909,80,44
1509171872,49,67
1509172570,47,57
1509173304,54,37
1509174023,59,45
1509174750,56,60
1509175697,67,59
1509176408,53,46
1509177150,55,79
1509177855,75,74
1509178601,88,74
1509179554,75,62
1509180250,67,85
1509181013,79,54
1509181688,63,75
1509182438,63,74
1509183143,78,70
1509183856,79,59
1509184850,56,82
1509185545,68,55
1509186270,68,55
