DateTime,Entries,UniqueIPs
1508783054,8623,8623
1508783770,8695,8695
1508784511,8697,8697
1508785210,8692,8692
1508785947,8686,8686
1508786673,8692,8692
1508787377,8702,8702
1508788361,8688,8688
1508789316,8692,8692
1508790514,8687,8687
1508791232,8698,8698
1508792192,8695,8695
1508793160,8714,8714
1508793852,8686,8686
1508794476,8711,8711
1508795546,8694,8694
1508796266,8681,8681
1508797292,8642,8642
1508798200,8673,8673
1508798895,8653,8653
1508799624,8667,8667
1508800338,8668,8668
1508801070,8652,8652
1508802035,8649,8649
1508802739,8658,8658
1508803462,8659,8659
1508804225,8641,8641
1508805147,8647,8647
1508806111,8647,8647
1508807320,8656,8656
1508808299,8630,8630
1508809230,8630,8630
1508809940,8640,8640
1508810901,8626,8626
1508811624,8618,8618
1508812344,8616,8616
1508813053,8633,8633
1508813770,8635,8635
1508814746,8652,8652
1508815455,8656,8656
1508816191,8654,8654
1508816901,8642,8642
1508817635,8598,8598
1508818343,8648,8648
1508819057,8647,8647
1508819772,8661,8661
1508820498,8630,8630
1508821226,8658,8658
1508821954,8636,8636
1508822650,8644,8644
1508823369,8654,8654
1508824098,8656,8656
1508824826,8627,8627
1508825544,8667,8667
1508826495,8663,8663
1508827210,8651,8651
1508827935,8658,8658
1508829651,8651,8651
1508830596,8646,8646
1508831306,8651,8651
1508832054,8649,8649
1508832996,8622,8622
1508833955,8654,8654
1508834650,8578,8578
1508835382,8519,8519
1508836097,8541,8541
1508836814,8611,8611
1508837533,8601,8601
1508838259,8627,8627
1508838970,8640,8640
1508839718,8650,8650
1508840422,8664,8664
1508841152,8654,8654
1508842105,8658,8658
1508842817,8610,8610
1508843547,8635,8635
1508844257,8614,8614
1508844978,8654,8654
1508845974,8649,8649
1508846669,8656,8656
1508847383,8655,8655
1508848357,8659,8659
1508849305,8635,8635
1508850025,8644,8644
1508850747,8644,8644
1508851466,8657,8657
1508852436,8652,8652
1508853149,8598,8598
1508853886,8649,8649
1508854575,8657,8657
1508855292,8654,8654
1508856022,8657,8657
1508856733,8669,8669
1508857730,8665,8665
1508858411,8671,8671
1508859138,8667,8667
1508859863,8668,8668
1508860571,8688,8688
1508861658,8681,8681
1508862587,8693,8693
1508863325,8839,8839
1508863949,8919,8919
1508864673,8902,8902
1508865402,8916,8916
1508866472,8919,8919
1508867429,8911,8911
1508868379,8905,8905
1508870925,8927,8927
1508872089,8900,8900
1508872863,8906,8906
1508873557,8926,8926
1508874527,8916,8916
1508875227,8900,8900
1508875957,8910,8910
1508876917,8912,8912
1508877861,8905,8905
1508878855,8900,8900
1508879804,8867,8867
1508880762,8868,8868
1508881450,8869,8869
1508882195,8862,8862
1508882904,8861,8861
1508883616,8834,8834
1508884451,8826,8826
1508885555,8813,8813
1508886645,8816,8816
1508887459,8864,8864
1508888447,8867,8867
1508889409,8862,8862
1508890584,8861,8861
1508891311,8863,8863
1508892006,8856,8856
1508892732,8869,8869
1508893723,8812,8812
1508894655,8858,8858
1508895382,8835,8835
1508896106,8814,8814
1508897067,8832,8832
1508898043,8839,8839
1508898993,8829,8829
1508899949,8815,8815
1508900771,8799,8799
1508901393,8800,8800
1508902356,8813,8813
1508903053,8838,8838
1508903792,8804,8804
1508904499,8830,8830
1508905465,8822,8822
1508906186,8828,8828
1508906906,8825,8825
1508907618,8818,8818
1508908334,8823,8823
1508909050,8803,8803
1508909798,8827,8827
1508910503,8799,8799
1508911224,8815,8815
1508911837,8829,8829
1508912658,8810,8810
1508913628,8796,8796
1508914442,8803,8803
1508915063,8791,8791
1508915792,8774,8774
1508916504,8796,8796
1508917458,8786,8786
1508918181,8798,8798
1508918907,8805,8805
1508919609,8818,8818
1508920353,8778,8778
1508921316,8822,8822
1508922270,8834,8834
1508922990,8837,8837
1508923704,8757,8757
1508924410,8854,8854
1508925153,8845,8845
1508926108,8848,8848
1508927072,8866,8866
1508928029,8878,8878
1508928740,8871,8871
1508929485,8876,8876
1508930175,8874,8874
1508930892,8883,8883
1508931871,8886,8886
1508932603,8837,8837
1508933309,8839,8839
1508934020,8872,8872
1508934737,8871,8871
1508935711,8887,8887
1508936679,8896,8896
1508937627,8872,8872
1508938590,8886,8886
1508939544,8863,8863
1508940521,8880,8880
1508941209,8870,8870
1508941938,8886,8886
1508942654,8910,8910
1508943386,8880,8880
1508944355,8898,8898
1508945049,8930,8930
1508945883,8941,8941
1508947974,8935,8935
1508948899,8915,8915
1508949632,8926,8926
1508950345,8954,8954
1508951059,8950,8950
1508951801,8933,8933
1508952497,8972,8972
1508953226,8976,8976
1508954206,8973,8973
1508955147,8940,8940
1508956099,8935,8935
1508956817,8826,8826
1508957549,8917,8917
1508958257,8938,8938
