DateTime,Entries,UniqueIPs
1508621318,9951,9951
1508622335,9931,9931
1508623355,9910,9910
1508624904,9915,9915
1508625742,8244,8244
1508626592,9895,9895
1508627436,9888,9888
1508629525,9872,9872
1508631035,9862,9862
1508632108,9864,9864
1508633122,8244,8244
1508634643,9830,9830
1508636546,9814,9814
1508638230,9810,9810
1508640335,9806,9806
1508640983,9807,9807
1508641837,9804,9804
1508642904,9807,9807
1508643941,9800,9800
1508644844,9788,9788
1508645740,9791,9791
1508647350,9770,9770
1508648825,9759,9759
1508651042,9737,9737
1508651855,9736,9736
1508652934,9715,9715
1508653707,9717,9717
1508654731,9702,9702
1508655902,9693,9693
1508656836,9696,9696
1508658041,9660,9660
1508660065,9645,9645
1508660905,9647,9647
1508661759,9620,9620
1508662797,9599,9599
1508663732,9600,9600
1508664937,9585,9585
1508666694,9572,9572
1508667638,9574,9574
1508668845,9562,9562
1508670636,9561,9561
1508671829,9562,9562
1508672977,9562,9562
1508674243,9561,9561
1508675162,9564,9564
1508676037,9557,9557
1508676893,9559,9559
1508677837,9555,9555
1508678726,9558,9558
1508679629,9550,9550
1508681353,9545,9545
1508682516,9549,9549
1508683535,9542,9542
1508684360,9541,9541
1508685331,9545,9545
1508686233,9533,9533
1508686950,9533,9533
1508688638,9540,9540
1508689472,9548,9548
1508690442,9537,9537
1508690557,9536,9536
1508691709,9533,9533
1508692539,9543,9543
1508693434,9542,9542
1508694338,9547,9547
1508696076,9544,9544
1508697030,9533,9533
1508697940,9541,9541
1508699444,9544,9544
1508700507,9551,9551
1508701534,9541,9541
1508703029,9531,9531
1508704103,9534,9534
1508705028,9496,9496
1508706641,9489,9489
1508707686,9490,9490
1508708581,9449,9449
1508709651,9437,9437
1508710530,9439,9439
1508711436,9436,9436
1508712842,9438,9438
1508713773,9435,9435
1508714686,9437,9437
1508715636,9415,9415
1508715772,9416,9416
1508717442,9403,9403
1508718618,9389,9389
1508719476,9387,9387
1508721045,9376,9376
1508721936,9375,9375
1508722957,9358,9358
1508723785,9359,9359
1508724632,9350,9350
1508725601,9350,9350
1508726730,9325,9325
1508728450,8244,8244
1508729498,9317,9317
1508731836,9307,9307
1508732904,9308,9308
1508733933,9309,9309
1508734585,9308,9308
1508735444,9300,9300
1508735678,9301,9301
1508736638,9298,9298
1508737450,9298,9298
1508738184,9299,9299
1508739033,9296,9296
1508740232,9295,9295
1508741096,9296,9296
1508742140,9297,9297
1508743076,9297,9297
1508744005,9296,9296
1508746467,9297,9297
1508747419,9295,9295
1508748130,8244,8244
1508748987,9295,9295
1508749839,9295,9295
1508750905,9295,9295
1508751927,9290,9290
1508752590,9291,9291
1508753435,9291,9291
1508754516,9294,9294
1508755365,9290,9290
1508757035,9290,9290
1508758845,9284,9284
1508759722,9286,9286
1508760560,9279,9279
1508762129,9271,9271
1508763340,9272,9272
1508764234,9258,9258
1508765124,9258,9258
1508766032,9235,9235
1508767275,9227,9227
1508768142,9228,9228
1508769035,9215,9215
1508769929,9216,9216
1508771428,9196,9196
1508772589,9178,9178
1508773346,8244,8244
1508774184,9175,9175
1508775042,9158,9158
1508776103,9161,9161
1508777006,9126,9126
1508777877,9130,9130
1508778930,9119,9119
1508779848,9114,9114
1508780549,9106,9106
1508782464,9094,9094
1508783432,9072,9072
1508784326,9070,9070
1508786064,9064,9064
1508787639,9054,9054
