DateTime,Entries,UniqueIPs
1508391941,151,151
1508393679,151,151
1508395359,154,154
1508397042,153,153
1508399136,152,152
1508400642,147,147
1508401595,148,148
1508402447,144,144
1508404073,144,144
1508405956,142,142
1508406149,143,143
1508408908,144,144
1508409937,142,142
1508411440,140,140
1508413241,140,140
1508414802,139,139
1508415639,141,141
1508416786,140,140
1508417790,141,141
1508418649,139,139
1508419568,140,140
1508420445,141,141
1508422262,140,140
1508424214,139,139
1508426070,145,145
1508427751,149,149
1508429676,149,149
1508430644,151,151
1508432674,153,153
1508434528,151,151
1508438552,147,147
1508439696,148,148
1508441445,147,147
1508443837,149,149
1508446538,149,149
1508447438,151,151
1508449358,150,150
1508451268,151,151
1508452114,152,152
1508453146,155,155
1508456561,154,154
1508458466,154,154
1508460041,150,150
1508460931,151,151
1508461770,152,152
1508463045,151,151
1508465438,150,150
1508466512,152,152
1508467533,153,153
1508468675,153,153
1508469640,153,153
1508470111,154,154
1508471140,153,153
1508472634,153,153
1508473701,155,155
1508474734,156,156
1508475723,157,157
1508476468,158,158
1508477730,159,159
1508479843,166,166
1508480069,167,167
1508481417,167,167
1508482599,166,166
1508483439,166,166
1508485531,166,166
1508488108,167,167
1508489149,165,165
1508491234,166,166
1508492433,166,166
1508494218,166,166
1508495299,167,167
1508496155,166,166
1508497302,164,164
1508498137,165,165
1508499034,164,164
1508499932,163,163
1508500963,162,162
1508502644,163,163
1508503536,164,164
1508504469,165,165
1508506239,164,164
1508508590,165,165
1508509780,167,167
1508511785,167,167
1508512838,169,169
1508514110,168,168
1508516074,169,169
1508517334,168,168
1508520477,170,170
1508521316,169,169
1508522398,168,168
1508525233,169,169
1508526111,168,168
1508527847,167,167
1508528562,165,165
1508530239,165,165
1508531197,166,166
1508532161,162,162
1508533840,161,161
1508534840,161,161
1508537437,160,160
1508538508,162,162
1508539358,161,161
1508540386,162,162
1508542242,159,159
1508543137,160,160
1508544646,161,161
1508545847,159,159
1508546736,159,159
1508548473,160,160
1508551214,160,160
1508552140,161,161
1508554586,162,162
1508556636,167,167
1508558275,168,168
1508559282,170,170
1508561138,168,168
1508564395,168,168
1508566239,168,168
1508571017,167,167
1508571946,169,169
1508575536,170,170
1508576641,173,173
1508578741,172,172
1508580639,173,173
1508581527,174,174
1508584237,180,180
1508585131,180,180
1508586882,181,181
1508587839,180,180
1508589034,179,179
1508590382,179,179
1508591438,180,180
1508593538,183,183
1508596235,181,181
1508597141,157,157
1508598874,156,156
1508599840,152,152
1508601692,150,150
1508602478,151,151
1508603307,153,153
1508604338,154,154
1508605837,155,155
1508607920,156,156
1508609667,161,161
1508610509,163,163
1508614837,164,164
1508615734,166,166
1508616641,167,167
1508617588,168,168
1508618444,165,165
1508619340,167,167
1508620238,166,166
1508624908,167,167
1508625750,168,168
1508626596,169,169
1508627440,170,170
1508629530,172,172
1508631039,171,171
1508632112,172,172
1508634648,171,171
1508636550,172,172
1508641842,172,172
1508642908,173,173
1508643945,174,174
1508644851,175,175
1508647355,177,177
1508648845,178,178
1508651062,140,140
1508651860,141,141
1508652938,141,141
1508653711,142,142
1508654735,142,142
1508655906,143,143
1508660910,144,144
1508661763,145,145
1508662857,147,147
1508663748,148,148
1508664941,148,148
1508666699,150,150
1508668849,152,152
1508671834,153,153
1508672981,154,154
1508674247,155,155
1508675166,156,156
1508676897,157,157
1508677841,157,157
1508679633,156,156
1508682521,158,158
1508683543,158,158
1508684372,158,158
1508686238,158,158
1508686955,159,159
1508688642,161,161
1508690448,162,162
1508691714,163,163
1508692544,164,164
1508693438,165,165
1508694342,164,164
1508697948,165,165
1508700511,166,166
1508701538,166,166
1508703033,152,152
1508708585,150,150
1508711441,151,151
1508712864,152,152
1508713777,151,151
1508714692,153,153
1508717446,152,152
1508721049,152,152
1508721942,157,157
1508722962,156,156
