DateTime,AddedIPs,RemovedIPs
1508556641,3,9
1508558280,3,1
1508559291,2,6
1508560133,2,0
1508561143,1,9
1508561796,3,0
1508562649,1,7
1508564399,1,5
1508566244,0,4
1508567613,1,4
1508568958,1,1
1508569849,0,2
1508571029,0,2
1508571952,1,0
1508575542,0,1
1508576649,0,3
1508577638,1,0
1508578746,2,8
1508580643,2,4
1508581531,0,2
1508582344,1,10
1508584242,0,2
1508585136,2,0
1508586047,0,4
1508586886,1,1
1508587843,1,4
1508589039,0,1
1508590387,1,1
1508591443,3,1
1508592521,3,0
1508593544,2,4
1508594516,1,2
1508595347,3,1
1508596240,0,1
1508597146,4,1
1508598879,5,2
1508599845,4,2
1508600650,1,0
1508601702,4,0
1508602483,5,0
1508603312,5,0
1508604343,4,7
1508605841,5,2
1508607928,5,6
1508609672,1,6
1508610513,1,0
1508611365,1,9
1508613045,5,8
1508614842,4,20
1508615739,3,0
1508616646,1,5
1508617592,1,0
1508618449,0,15
1508619345,1,0
1508620243,2,8
1508621332,2,0
1508622348,1,18
1508623373,1,24
1508624913,2,0
1508625755,1,19
1508626600,1,0
1508627445,1,8
1508629535,2,14
1508631044,0,9
1508632117,1,0
1508633134,1,19
1508634653,0,10
1508636556,3,15
1508638239,4,8
1508640344,2,8
1508640991,1,0
1508641850,3,6
1508642913,1,0
1508643951,0,5
1508644856,0,14
1508645754,2,0
1508647359,0,19
1508648850,0,13
1508651067,3,22
1508652944,3,19
1508653716,2,0
1508654740,1,15
1508655911,0,11
1508656846,2,0
1508658050,3,36
1508660075,2,17
1508660917,1,1
1508661770,4,31
1508662874,0,22
1508663756,1,0
1508664946,2,18
1508666704,4,12
1508667648,1,2
1508668854,0,11
1508670643,2,5
1508671839,3,1
1508672986,1,0
1508674252,3,1
1508675171,1,0
1508676046,1,5
1508676902,2,0
1508677846,0,5
1508678736,1,0
1508679638,0,9
1508681380,2,6
1508682525,3,0
1508683551,2,7
1508684377,2,2
1508685340,4,2
1508686243,1,14
1508686962,7,4
1508688647,6,3
1508689488,7,0
1508690453,4,13
1508691720,7,12
1508692550,7,0
1508693444,8,9
1508694347,7,5
1508696085,13,12
1508697040,6,17
1508697958,14,5
1508699453,14,10
1508700516,6,0
