DateTime,AddedIPs,RemovedIPs
1508633107,52,256
1508634607,91,175
1508636527,121,276
1508638206,105,163
1508640306,119,266
1508640966,44,0
1508641792,51,151
1508642887,80,0
1508643907,77,319
1508644807,0,19274
1508645707,19193,0
1508647327,85,278
1508649607,138,156
1508650507,48,258
1508651407,68,79
1508652607,79,143
1508653687,52,0
1508654706,54,284
1508655885,77,98
1508656806,61,0
1508658015,85,228
1508660047,118,119
1508660887,43,1
1508661728,57,258
1508662732,56,163
1508663708,67,33
1508664907,78,370
1508666677,109,278
1508667607,61,0
1508668807,70,374
1508670606,109,150
1508671806,69,120
1508672960,71,40
1508675145,124,129
1508676006,74,181
1508676877,53,0
1508677806,63,108
1508678707,53,0
1508679607,115,153
1508681322,111,108
1508682306,67,0
1508683506,75,213
1508684330,49,103
1508685307,64,11
1508686207,58,163
1508686928,62,43
1508688607,121,108
1508689439,71,0
1508690407,68,370
1508690528,9,0
1508691682,92,140
1508692515,63,0
1508693407,60,112
1508694307,79,40
1508696047,124,146
1508697007,46,136
1508697907,75,42
1508699406,103,76
1508700487,83,0
1508701506,88,185
1508703006,106,113
1508704086,71,0
1508705011,52,190
1508706606,95,88
1508707658,58,0
1508708528,58,181
1508709554,52,93
1508710507,62,8
1508711407,92,121
1508712825,96,36
1508713753,74,70
1508714657,93,0
1508715613,50,191
1508715727,10,0
1508717407,96,103
1508718609,0,16772
1508719459,16747,0
1508721008,204,95
1508721906,126,1
1508722928,92,184
1508723768,89,0
1508724607,87,102
1508725584,91,0
1508726707,117,205
1508728447,127,115
1508729475,78,153
1508731807,154,156
1508732886,80,0
1508733907,73,178
1508734568,37,0
1508735407,56,86
1508735646,23,0
1508736613,64,132
1508737432,64,0
1508738166,40,1
1508739006,61,121
1508740206,77,113
1508741075,64,43
1508742108,91,76
1508742907,48,1
1508743977,93,121
1508744529,42,0
1508746447,142,126
1508747388,86,156
1508748128,66,50
1508748966,80,1
1508749807,59,116
1508750887,85,0
1508751896,72,115
1508752566,47,0
1508753406,80,160
1508754487,101,0
1508755330,162,107
1508757006,314,127
1508758814,126,169
1508759706,63,2
1508760541,64,193
1508762107,106,122
1508763306,96,30
1508764206,65,98
1508765107,81,0
1508766006,82,184
1508767212,109,103
1508768115,61,0
1508769008,79,133
1508769907,79,0
1508771106,76,145
1508771906,51,0
1508772907,73,128
1508773327,25,38
1508774166,43,1
1508775007,58,105
1508776087,71,1
1508776988,105,191
1508777860,113,0
1508778906,126,90
1508779826,103,117
1508780527,69,57
1508782447,152,107
1508783407,73,113
1508784307,70,38
1508786047,155,93
1508787614,135,162
1508788567,104,1
1508789406,86,85
1508789646,21,0
1508790607,87,102
1508791507,65,35
1508792166,60,0
1508793008,71,93
1508794086,102,0
1508795106,75,152
1508796262,107,90
1508797207,76,0
1508798241,85,119
1508798527,28,40
1508799836,81,88
1508800807,87,0
1508802007,132,157
1508804407,223,86
1508805617,126,138
1508807134,162,83
1508808006,98,0
1508808486,30,0
1508809328,62,129
1508810167,73,0
1508811006,71,81
1508812087,86,0
1508813115,71,139
1508815214,157,80
1508816107,102,89
1508816527,49,38
1508817693,98,78
1508818507,78,0
1508819417,82,95
1508820128,75,37
1508821807,193,86
1508823007,139,95
1508823817,122,29
1508824800,103,67
1508825706,93,1
1508826608,86,125
1508827513,114,35
1508829248,158,82
1508830127,90,0
1508831707,157,147
1508832606,106,71
1508833816,135,114
1508834529,71,44
1508835659,114,87
1508836506,82,0
1508837286,72,0
1508838294,93,130
1508839308,80,85
1508840046,64,0
1508841016,123,117
1508841906,153,0
1508843256,240,103
1508844142,145,0
1508845215,185,105
1508846107,77,0
1508847006,82,123
1508848086,129,0
1508848925,80,148
1508850244,151,100
1508851207,108,0
1508852407,130,160
1508853597,157,94
1508854507,100,0
1508855287,99,1
1508856307,104,220
1508856967,76,0
1508857806,90,111
1508860498,208,190
1508861407,51,116
1508862607,98,147
1508863327,87,60
1508865006,263,113
1508866087,157,0
1508867107,94,222
1508867767,60,0
1508868607,84,120
1508870406,181,216
1508872507,225,74
1508873406,83,130
1508874307,100,45
1508876046,156,98
1508876886,103,0
1508877907,109,153
1508878566,52,1
1508879407,75,75
1508880584,95,128
1508882284,160,52
1508883294,73,103
1508884208,95,191
1508885117,90,47
1508885934,62,90
1508886907,72,7
1508887813,96,140
1508888527,56,34
1508889366,79,0
1508890206,75,82
1508890447,18,0
1508891407,94,136
1508892127,60,28
1508893807,166,89
1508894886,109,0
1508895908,90,125
1508897331,156,157
1508898157,94,0
1508899206,128,151
1508900107,100,0
1508900923,90,86
1508901247,34,0
1508902209,123,93
1508903106,142,0
1508904607,170,140
1508905686,114,1
1508906706,148,164
1508907544,111,58
1508908517,132,17
1508909287,118,1
1508910966,179,116
1508911806,72,127
1508913728,210,188
1508915647,218,103
1508916645,0,21664
1508917328,21687,0
1508918167,64,0
1508919007,80,170
1508920088,86,0
1508920887,79,176
1508921875,77,0
1508922906,94,101
1508923743,100,2
1508924528,82,150
1508925368,87,0
1508926207,87,433
1508927329,108,0
1508928307,127,181
1508929807,188,121
1508931117,136,127
1508932567,159,56
1508933647,104,101
1508934517,82,1
1508935327,89,118
1508936181,79,0
1508937006,81,177
1508938122,106,1
1508938928,71,190
1508939766,86,0
1508940607,95,98
1508941686,95,0
1508942707,90,130
1508943366,54,0
1508944207,68,125
1508946307,174,186
1508947807,128,122
1508948886,92,0
1508949893,187,175
1508950792,213,151
1508951647,189,0
1508952542,66,2
1508953546,0,22296
1508955246,22205,0
1508956207,71,142
1508956928,50,0
1508958607,113,156
1508959506,66,0
1508960544,91,195
1508961383,89,0
1508962206,76,105
1508963287,98,0
1508964175,165,153
1508965275,91,154
1508966106,51,0
1508967007,66,142
1508967755,64,58
1508968566,61,0
1508969406,72,86
1508971327,143,163
1508973007,103,178
1508974124,80,0
1508974927,57,228
1508975767,74,0
1508976607,67,133
1508980207,296,314
1508982127,128,202
1508983456,88,108
1508984376,59,0
1508985294,67,168
1508987406,156,198
1508988312,66,0
1508989327,112,232
1508991006,162,151
1508992926,145,292
1508994049,114,156
1508994907,92,0
1508995686,82,0
1508996707,80,228
1508998206,121,112
1509000127,169,237
1509001806,157,133
1509002869,95,0
1509003728,61,263
1509004567,85,1
1509005406,79,129
1509006504,103,1
1509007327,73,219
1509008272,75,0
1509009255,81,117
1509010207,81,201
1509010928,75,91
1509012575,165,224
1509013506,97,1
1509014406,96,390
1509015366,92,0
1509016208,68,106
1509017287,90,0
1509018306,98,247
1509019246,71,151
1509020107,102,0
1509021310,113,198
1509021727,39,66
1509022643,91,1
1509023707,82,168
1509024613,95,199
1509025328,72,58
1509027007,162,138
1509028086,112,1
1509029107,121,208
1509030607,152,83
1509031686,98,0
1509032488,63,191
1509033347,73,0
1509034206,77,222
1509036127,179,289
1509037803,0,20876
1509039727,20932,0
1509040567,79,0
1509041407,71,215
1509042606,96,172
1509043506,84,61
1509044166,63,0
1509045007,65,143
1509045906,76,0
1509046806,75,242
1509047707,92,0
1509048606,74,110
1509049521,74,0
1509051306,133,204
1509052195,67,110
1509053706,104,136
1509055725,154,162
1509056047,29,0
1509056886,60,0
1509058110,92,195
1509060617,163,271
1509061508,83,44
1509063007,118,139
1509064087,86,1
1509066908,326,373
1509068420,137,253
1509069652,93,129
1509070468,53,0
1509071410,61,243
1509072307,78,82
1509073807,99,153
1509074886,87,0
1509075728,129,288
1509076566,137,2
1509077407,183,145
1509077648,49,0
1509079207,224,312
1509081248,216,99
1509082084,0,20458
1509082928,20431,0
1509084847,187,133
1509085806,92,178
1509086527,54,65
1509087776,113,114
1509088447,60,0
1509089410,82,159
1509090307,87,54
1509092047,151,124
1509092887,65,0
1509093907,104,234
1509095406,115,115
1509097327,143,253
1509098405,90,145
1509099246,62,12
1509100087,63,0
1509100936,58,240
1509101817,60,0
