DateTime,Entries,UniqueIPs
1508633107,28180,28180
1508634607,28096,28096
1508636527,27941,27941
1508638206,27883,27883
1508640306,27736,27736
1508640966,27780,27780
1508641792,27680,27680
1508642887,27760,27760
1508643907,27518,27518
1508644807,8244,8244
1508645707,27437,27437
1508647327,27244,27244
1508649607,27226,27226
1508650507,27016,27016
1508651407,27005,27005
1508652607,26941,26941
1508653687,26993,26993
1508654706,26763,26763
1508655885,26742,26742
1508656806,26803,26803
1508658015,26660,26660
1508660047,26659,26659
1508660887,26701,26701
1508661728,26500,26500
1508662732,26393,26393
1508663708,26427,26427
1508664907,26135,26135
1508666677,25966,25966
1508667607,26027,26027
1508668807,25723,25723
1508670606,25682,25682
1508671806,25631,25631
1508672960,25662,25662
1508675145,25657,25657
1508676006,25550,25550
1508676877,25603,25603
1508677806,25558,25558
1508678707,25611,25611
1508679607,25573,25573
1508681322,25576,25576
1508682306,25643,25643
1508683506,25505,25505
1508684330,25451,25451
1508685307,25504,25504
1508686207,25399,25399
1508686928,25418,25418
1508688607,25431,25431
1508689439,25502,25502
1508690407,25200,25200
1508690528,25209,25209
1508691682,25161,25161
1508692515,25224,25224
1508693407,25172,25172
1508694307,25211,25211
1508696047,25189,25189
1508697007,25099,25099
1508697907,25132,25132
1508699406,25159,25159
1508700487,25242,25242
1508701506,25145,25145
1508703006,25138,25138
1508704086,25209,25209
1508705011,25071,25071
1508706606,25078,25078
1508707658,25136,25136
1508708528,25013,25013
1508709554,24972,24972
1508710507,25026,25026
1508711407,24997,24997
1508712825,25057,25057
1508713753,25061,25061
1508714657,25154,25154
1508715613,25013,25013
1508715727,25023,25023
1508717407,25016,25016
1508718609,8244,8244
1508719459,24991,24991
1508721008,25100,25100
1508721906,25225,25225
1508722928,25133,25133
1508723768,25222,25222
1508724607,25207,25207
1508725584,25298,25298
1508726707,25210,25210
1508728447,25222,25222
1508729475,25147,25147
1508731807,25145,25145
1508732886,25225,25225
1508733907,25120,25120
1508734568,25157,25157
1508735407,25127,25127
1508735646,25150,25150
1508736613,25082,25082
1508737432,25146,25146
