DateTime,Entries,UniqueIPs
1508613038,2367,2367
1508614835,2367,2367
1508615732,2378,2378
1508616639,2369,2369
1508617582,2371,2371
1508618442,2356,2356
1508619338,2368,2368
1508620236,2330,2330
1508621323,2334,2334
1508622338,2320,2320
1508623363,2310,2310
1508624907,2323,2323
1508626594,2317,2317
1508627438,2312,2312
1508629527,2314,2314
1508631037,2328,2328
1508632111,2341,2341
1508634646,2338,2338
1508636548,2346,2346
1508638233,2357,2357
1508640337,2348,2348
1508640985,2353,2353
1508641841,2354,2354
1508642906,2366,2366
1508643943,2352,2352
1508644849,2345,2345
1508645743,2354,2354
1508647353,2355,2355
1508648829,2355,2355
1508651044,2369,2369
1508651858,2382,2382
1508652936,2382,2382
1508653709,2383,2383
1508654733,2371,2371
1508655904,2372,2372
1508656839,2374,2374
1508658043,2362,2362
1508660068,2357,2357
1508660908,2358,2358
1508661761,2337,2337
1508662811,2330,2330
1508663744,2338,2338
1508664939,2341,2341
1508666697,2337,2337
1508667640,2337,2337
1508668847,2323,2323
1508671832,2329,2329
1508672979,2337,2337
1508674245,2341,2341
1508675164,2342,2342
1508676040,2340,2340
1508676895,2351,2351
1508677839,2349,2349
1508678729,2353,2353
1508679631,2338,2338
1508681360,2344,2344
1508682519,2357,2357
1508683540,2340,2340
1508684367,2331,2331
1508685333,2339,2339
1508686236,2324,2324
1508686953,2325,2325
1508688640,2339,2339
1508689476,2351,2351
1508690444,2188,2188
1508691712,2135,2135
1508692542,2145,2145
1508693436,2129,2129
1508694340,2140,2140
1508696078,2139,2139
1508697033,2132,2132
1508697945,2140,2140
1508699446,2143,2143
1508700509,2152,2152
1508701536,2140,2140
1508703031,2152,2152
1508704106,2166,2166
1508705031,2149,2149
1508706644,2161,2161
1508707691,2163,2163
1508708583,2154,2154
1508709653,2133,2133
1508710535,2140,2140
1508711439,2134,2134
1508712852,2143,2143
1508713775,2151,2151
1508714690,2166,2166
1508715639,2153,2153
1508715775,2155,2155
1508717444,2157,2157
1508718620,2161,2161
1508719479,2166,2166
1508721047,2168,2168
1508721940,2177,2177
1508722960,2161,2161
1508723787,2165,2165
1508724634,2174,2174
1508725603,2186,2186
1508726733,2178,2178
