DateTime,Entries,UniqueIPs
1508633122,8244,8244
1508634641,14609,14609
1508636543,14524,14524
1508638228,14472,14472
1508640330,14371,14371
1508640981,14385,14385
1508641825,14321,14321
1508642902,14345,14345
1508643935,14170,14170
1508644807,8244,8244
1508645734,14110,14110
1508647348,14005,14005
1508648822,13955,13955
1508651039,13867,13867
1508651853,13889,13889
1508652925,13841,13841
1508653705,13848,13848
1508654728,13734,13734
1508655900,13732,13732
1508656834,13746,13746
1508658039,13715,13715
1508660063,13708,13708
1508660903,13711,13711
1508661756,13628,13628
1508662756,13550,13550
1508663734,13544,13544
1508664931,13332,13332
1508666692,13219,13219
1508667635,13236,13236
1508668835,13022,13022
1508670634,12985,12985
1508671827,12975,12975
1508672975,12986,12986
1508675160,12998,12998
1508676035,12969,12969
1508676891,12990,12990
1508677835,12973,12973
1508678724,12987,12987
1508679627,13024,13024
1508681350,13034,13034
1508682514,13054,13054
1508683531,13021,13021
1508684351,13012,13012
1508685327,13032,13032
1508686229,13000,13000
1508686948,13006,13006
1508688635,13019,13019
1508689465,13040,13040
1508690432,12874,12874
1508690550,12875,12875
1508691707,12842,12842
1508692535,12863,12863
1508693432,12849,12849
1508694333,12871,12871
1508696074,12885,12885
1508697028,12875,12875
1508697936,12886,12886
1508699441,12902,12902
1508700505,12931,12931
1508701531,12914,12914
1508703027,12924,12924
1508704101,12945,12945
1508705026,12913,12913
1508706639,12927,12927
1508707682,12940,12940
1508708546,12916,12916
1508709649,12899,12899
1508710526,12919,12919
1508711431,12941,12941
1508712840,12967,12967
1508713771,12990,12990
1508714684,13019,13019
1508715632,12982,12982
1508715770,12987,12987
1508717440,12990,12990
1508718609,8244,8244
1508719474,12993,12993
1508721043,13000,13000
1508721931,13017,13017
1508722953,12980,12980
1508723783,12998,12998
1508724630,12993,12993
1508725598,13018,13018
1508726726,12995,12995
1508728450,8244,8244
1508729495,12960,12960
1508731834,12961,12961
1508732901,12981,12981
1508733928,12949,12949
1508734583,12961,12961
