DateTime,Entries,UniqueIPs
1508617560,11188,11188
1508618423,11115,11115
1508619329,11145,11145
1508620227,11129,11129
1508621307,11170,11170
1508622319,11120,11120
1508623341,11081,11081
1508624897,11137,11137
1508625739,11064,11064
1508626579,11088,11088
1508627429,11069,11069
1508629516,11034,11034
1508631022,11024,11024
1508632098,11070,11070
1508633120,10980,10980
1508634630,10969,10969
1508636538,10916,10916
1508638224,10924,10924
1508640319,10885,10885
1508640976,10913,10913
1508641812,10882,10882
1508642897,10928,10928
1508643923,10868,10868
1508645723,10855,10855
1508647340,10792,10792
1508648818,10783,10783
1508651032,10725,10725
1508651849,10761,10761
1508652912,10745,10745
1508653699,10771,10771
1508654720,10683,10683
1508655895,10676,10676
1508656823,10714,10714
1508658027,10643,10643
1508660058,10657,10657
1508660898,10686,10686
1508661743,10603,10603
1508662744,10594,10594
1508663719,10629,10629
1508664919,10567,10567
1508666687,10512,10512
1508667625,10552,10552
1508668821,10481,10481
1508670629,10478,10478
1508671822,10439,10439
1508672970,10459,10459
1508675155,10443,10443
1508676024,10378,10378
1508676886,10403,10403
1508677826,10375,10375
1508678719,10410,10410
1508679618,10350,10350
1508681345,10345,10345
1508682509,10393,10393
1508683518,10309,10309
1508684346,10265,10265
1508685319,10294,10294
1508686221,10238,10238
1508686939,10251,10251
1508688626,10243,10243
1508689449,10278,10278
1508690419,10210,10210
1508690538,10218,10218
1508691698,10204,10204
1508692529,10235,10235
1508693423,10200,10200
1508694321,10213,10213
1508696062,10179,10179
1508697022,10111,10111
1508697927,10124,10124
1508699430,10132,10132
1508700499,10170,10170
1508701523,10102,10102
1508703022,10107,10107
1508704097,10148,10148
1508705021,10083,10083
1508706628,10084,10084
1508707673,10124,10124
1508708541,10072,10072
1508709602,10056,10056
1508710521,10094,10094
1508711422,10052,10052
1508712835,10079,10079
1508713766,10065,10065
1508714671,10123,10123
1508715627,10047,10047
1508715742,10051,10051
1508717429,10055,10055
1508719469,10045,10045
1508721031,10148,10148
1508721919,10244,10244
1508722943,10204,10204
1508723778,10268,10268
1508724625,10267,10267
1508725594,10332,10332
1508726719,10306,10306
1508729487,10283,10283
