DateTime,Entries,UniqueIPs
1508086097,14150,14468
1508088035,14144,14463
1508089943,14155,14474
1508091858,14161,14480
1508093771,14163,14482
1508095707,14165,14484
1508097623,14162,14480
1508099539,14166,14485
1508103389,14152,14471
1508105305,14159,14478
1508107214,14172,14491
1508109138,14171,14490
1508111065,14185,14504
1508113005,14192,14511
1508114909,14205,14523
1508116813,14218,14536
1508118739,14218,14535
1508120655,14231,14548
1508122589,14227,14543
1508124501,14237,14552
1508126429,14243,14559
1508128342,14242,14557
1508130265,14247,14563
1508132184,14253,14569
1508134110,14246,14561
1508136025,14254,14569
1508137950,14265,14581
1508139859,14276,14593
1508141781,14270,14587
1508143698,14272,14590
1508145626,14270,14588
1508147570,14269,14587
1508155223,14251,14569
1508157141,14245,14563
1508161219,14239,14558
1508163131,14228,14547
1508165052,14242,14561
1508166988,14244,14563
1508168894,14240,14558
1508170820,14248,14566
1508172743,14254,14572
1508174652,14262,14581
1508176568,14252,14571
1508178493,14268,14587
1508180426,14257,14576
1508182349,14249,14567
1508184254,14244,14562
1508186170,14240,14557
1508188101,14254,14571
1508190006,14248,14565
1508191931,14258,14575
1508193861,14263,14578
1508195805,14267,14582
1508197763,14276,14591
1508199648,14284,14599
1508201553,14299,14615
1508203721,14317,14634
1508205643,14318,14635
1508207557,14321,14638
1508209470,14317,14633
1508211398,14319,14635
1508213322,14309,14626
1508215236,14329,14645
1508219088,14322,14638
1508220984,14318,14634
1508222939,14320,14637
1508226759,14307,14623
1508231541,14282,14597
1508233463,14282,14597
1508235377,14283,14598
1508237314,14287,14603
1508239225,14296,14612
1508241149,14276,14592
1508244976,14273,14588
1508246900,14270,14588
1508248841,14260,14580
1508250754,14255,14575
1508252681,14258,14578
1508254588,14244,14565
1508256508,14239,14560
1508258417,14226,14547
1508260344,14246,14567
1508266111,14236,14556
1508268074,14222,14542
1508269962,14210,14530
1508271882,14206,14526
1508275697,14204,14525
1508277624,14195,14516
1508279684,14178,14497
1508281694,14174,14496
1508283627,14180,14503
1508287690,14156,14479
1508289633,14160,14483
1508291529,14148,14470
1508293456,14150,14472
1508295384,14148,14469
1508297306,14146,14467
1508299218,14129,14450
1508301157,14127,14448
1508303061,14124,14446
1508304988,14128,14450
1508306892,14114,14435
1508312904,14085,14408
1508314827,14087,14410
1508316747,14085,14410
1508318670,14088,14413
1508322501,14087,14412
1508324432,14093,14419
1508326361,14096,14421
1508328273,14105,14430
1508331130,14104,14429
1508333050,14103,14429
1508334966,14100,14422
1508336887,14107,14429
1508339072,14114,14436
1508340970,14102,14423
1508342905,14100,14421
1508344822,14100,14422
1508346751,14099,14422
1508348665,14104,14428
1508350573,14109,14433
1508352491,14105,14429
1508354408,14108,14432
1508356330,14109,14433
1508358251,14105,14429
1508360181,14099,14423
1508362102,14099,14423
1508364018,14084,14408
1508366057,14074,14398
1508368606,14066,14390
1508370505,14064,14388
1508372427,14064,14388
1508374331,14061,14385
1508376272,14066,14390
1508380343,14058,14381
1508382258,14067,14390
1508384171,14069,14392
1508386092,14057,14379
1508388021,14059,14381
1508391854,14058,14380
1508393781,14066,14390
1508395703,14079,14404
1508397609,14072,14398
1508399549,14059,14385
1508401460,14061,14387
1508403381,14059,14386
1508405312,14061,14387
1508407219,14059,14385
1508409138,14057,14383
1508414902,14048,14373
1508416821,14041,14367
1508418737,14033,14359
1508422585,14012,14338
1508424500,14016,14341
1508426425,14009,14333
1508428365,14014,14339
1508430251,14023,14349
1508434090,14025,14351
1508436029,14025,14351
1508437948,14023,14349
1508439868,14016,14343
1508441770,14012,14339
1508443693,14023,14350
1508445624,14016,14343
1508447550,14021,14349
1508450483,14006,14334
1508452451,14003,14331
1508456172,14005,14333
1508458327,14019,14347
1508460254,14031,14360
1508462174,14054,14383
1508464096,14076,14406
1508466267,14083,14416
1508468167,14074,14407
1508470088,14082,14416
1508473932,14076,14410
1508475856,14081,14416
1508478024,14076,14411
1508479949,14088,14423
1508481866,14092,14427
1508483794,14087,14422
1508485704,14084,14420
1508487957,14089,14425
1508491684,14090,14426
1508493872,14086,14422
1508495768,14091,14427
1508497712,14094,14430
1508499608,14103,14439
1508501537,14128,14464
1508503461,14135,14472
1508505377,14138,14475
1508507295,14148,14486
1508509219,14145,14482
1508511170,14158,14496
1508513051,14176,14515
1508514994,14173,14511
1508516894,14177,14513
1508518830,14174,14510
1508520747,14175,14511
1508522659,14159,14496
1508525327,14164,14504
1508527230,14165,14505
1508529153,14160,14500
1508531058,14177,14517
1508532973,14174,14512
1508534892,14181,14518
1508536840,14193,14530
1508538802,14196,14533
1508540672,14198,14535
1508542570,14196,14533
1508544496,14191,14528
1508546421,14194,14531
1508548341,14196,14536
1508550253,14199,14539
1508552193,14214,14553
1508554110,14226,14565
1508556012,14233,14571
1508557937,14236,14575
1508559869,14247,14586
1508563694,14238,14577
1508565708,14245,14584
1508567740,14263,14602
1508571737,14245,14584
1508576043,14234,14573
1508577968,14238,14577
1508579895,14238,14577
1508581701,14245,14584
1508583731,14243,14582
1508585532,14252,14591
1508587472,14242,14581
1508589378,14263,14602
1508591298,14271,14610
1508593207,14305,14644
1508595127,14317,14657
1508597087,14317,14657
1508599243,14329,14668
1508601164,14330,14669
1508603052,14333,14673
1508604972,14339,14679
1508606892,14347,14685
1508610748,14335,14673
1508614569,14348,14686
1508616489,14355,14693
1508618420,14369,14708
1508620346,14377,14716
1508622259,14399,14738
1508624191,14403,14742
1508626089,14398,14736
1508628007,14411,14749
1508629925,14413,14752
1508631855,14418,14759
1508633778,14421,14761
1508635699,14418,14758
1508637611,14428,14768
1508639531,14434,14774
1508641470,14431,14770
1508643391,14452,14791
1508645319,14445,14784
1508647211,14456,14795
1508649148,14439,14776
1508652999,14441,14777
1508654902,14443,14779
1508656842,14446,14782
1508658767,14451,14787
1508660669,14443,14778
1508662571,14450,14786
1508664504,14439,14775
1508666439,14445,14781
1508668351,14439,14775
1508670263,14440,14776
1508672196,14438,14774
1508674105,14450,14786
1508676016,14463,14799
1508680365,14446,14781
1508682256,14460,14796
1508684182,14455,14791
1508688021,14442,14779
1508689940,14435,14772
1508691860,14439,14776
1508693793,14442,14779
1508695694,14445,14781
1508697627,14441,14777
1508699553,14444,14780
1508701465,14455,14791
1508703375,14460,14796
1508705294,14466,14803
1508707241,14476,14813
1508709148,14488,14825
1508711486,14483,14822
1508713460,14485,14825
1508715371,14482,14822
1508717300,14481,14821
1508719208,14479,14819
1508721126,14478,14818
1508723052,14493,14833
1508726894,14484,14825
1508728836,14478,14819
1508730730,14488,14829
1508734582,14466,14807
1508736507,14455,14796
1508738434,14468,14810
1508740353,14466,14806
1508742278,14465,14806
1508744182,14473,14814
1508746100,14471,14812
1508748025,14464,14805
1508749949,14466,14807
1508751855,14464,14806
1508753794,14463,14805
1508756454,14467,14810
1508762180,14445,14787
1508772032,14418,14760
1508773942,14421,14763
1508775863,14425,14767
1508777769,14421,14762
1508779690,14423,14764
1508781634,14421,14762
1508783554,14420,14761
1508785475,14441,14781
1508787372,14458,14798
1508789312,14463,14803
1508791228,14474,14814
1508793156,14479,14817
1508795052,14490,14829
1508797288,14477,14817
1508799385,14474,14814
1508801301,14483,14824
1508803231,14492,14833
1508805144,14487,14828
1508809226,14483,14824
1508811397,14483,14824
1508813292,14483,14824
1508815237,14487,14827
1508817141,14490,14831
1508819054,14486,14827
1508820968,14480,14822
1508823157,14477,14817
1508825059,14466,14806
1508827002,14459,14799
1508829647,14463,14804
1508831537,14467,14807
1508833453,14460,14801
1508835378,14458,14799
1508837302,14454,14795
1508841148,14448,14788
1508843059,14446,14785
1508844974,14447,14786
1508846890,14446,14785
1508851687,14420,14759
1508853883,14424,14764
1508855771,14428,14768
1508857726,14427,14767
1508859609,14429,14769
1508863564,14421,14761
1508865398,14430,14770
1508867426,14435,14775
1508870920,14439,14780
1508872859,14428,14769
1508875223,14420,14761
1508877393,14415,14756
1508879303,14409,14750
1508881209,14411,14752
1508883130,14414,14755
1508885048,14411,14752
1508886994,14416,14757
1508888912,14419,14761
1508890827,14428,14770
1508892728,14433,14775
1508894650,14433,14775
1508896583,14444,14786
1508898505,14444,14786
1508900411,14441,14782
1508902352,14439,14780
1508904260,14428,14769
1508906182,14417,14757
1508908098,14404,14744
1508910015,14396,14736
1508911833,14395,14735
1508913856,14405,14743
1508915788,14402,14740
1508917709,14413,14751
1508921785,14408,14746
1508925638,14410,14748
1508927545,14415,14753
1508929481,14422,14761
1508931378,14434,14774
1508935213,14429,14769
1508937149,14435,14774
1508939053,14441,14780
1508940983,14455,14794
1508942900,14457,14796
1508944822,14455,14795
1508947969,14441,14781
1508949854,14461,14802
1508951797,14466,14808
1508953704,14470,14812
1508955637,14479,14821
1508957545,14468,14811
1508959472,14478,14821
1508961370,14470,14813
1508963312,14487,14831
1508965235,14490,14834
1508967156,14490,14834
1508969064,14488,14832
1508970997,14495,14839
1508972894,14498,14842
1508974824,14491,14835
1508977012,14491,14835
1508978892,14493,14836
1508980861,14507,14850
1508982752,14510,14852
1508984654,14493,14835
1508986571,14519,14861
1508988491,14535,14877
1508990436,14532,14874
1508992347,14531,14874
1508994514,14534,14877
1508996428,14535,14877
1509004096,14506,14847
1509006040,14496,14837
1509007949,14495,14835
1509011771,14494,14834
1509013708,14505,14843
1509015639,14508,14847
1509017563,14509,14849
1509019492,14514,14852
1509021407,14519,14857
1509027149,14510,14848
1509029080,14510,14848
1509033156,14499,14837
1509035062,14516,14857
1509036985,14514,14855
1509038912,14528,14869
1509040909,14530,14871
1509042758,14529,14870
1509044807,14531,14872
1509046822,14523,14864
1509048744,14513,14853
1509050664,14526,14867
1509052836,14508,14847
1509055050,14506,14845
1509057156,14497,14836
1509059190,14495,14834
1509061477,14502,14840
1509063868,14507,14845
1509066006,14499,14837
1509067927,14501,14839
1509069854,14498,14836
1509071797,14488,14825
1509075973,14461,14799
1509077786,14447,14785
1509079690,14446,14784
1509081626,14438,14776
1509083542,14430,14767
1509085452,14431,14768
1509087382,14430,14766
1509089309,14431,14767
1509091223,14427,14763
1509093136,14419,14754
1509095067,14427,14762
1509097099,14431,14766
1509098905,14431,14766
1509100827,14436,14770
1509102752,14438,14772
1509106605,14435,14770
1509108491,14437,14769
1509110672,14437,14766
1509112579,14426,14755
1509116445,14417,14745
1509120266,14406,14734
1509122198,14412,14740
1509124117,14413,14741
1509126027,14422,14750
1509127953,14416,14744
1509129871,14430,14759
1509131800,14427,14756
1509133703,14436,14765
1509139690,14403,14733
1509141643,14393,14723
1509143797,14393,14723
1509145949,14393,14723
1509149766,14389,14719
1509151695,14395,14725
1509153615,14399,14729
1509155548,14394,14723
1509157452,14388,14717
1509159391,14384,14713
1509161290,14378,14707
1509163235,14365,14693
1509165149,14356,14684
1509167067,14349,14677
1509168970,14339,14667
1509170905,14325,14653
1509172822,14325,14652
1509174746,14325,14652
1509178597,14320,14647
1509180494,14321,14648
1509182434,14322,14649
1509184356,14323,14650
1509186266,14324,14651
