DateTime,Entries,UniqueIPs
1508689956,126748,126748
1508690921,126750,126750
1508691867,126741,126741
1508692817,126709,126709
1508693808,126679,126679
1508694750,126674,126674
1508695700,126656,126656
1508696657,126649,126649
1508697649,126651,126651
1508698599,126638,126638
1508699559,126624,126624
1508700505,126615,126615
1508701479,126580,126580
1508702513,126563,126563
1508703624,126583,126583
1508704581,126583,126583
1508705543,126573,126573
1508706772,126528,126528
1508707695,126542,126542
1508708658,126530,126530
1508709637,126510,126510
1508710593,126512,126512
1508711506,126537,126537
1508712502,126502,126502
1508713467,126533,126533
1508714436,126498,126498
1508715377,126517,126517
1508716355,126491,126491
1508717306,126520,126520
1508718516,126498,126498
1508719457,126514,126514
1508720441,126517,126517
1508721404,126518,126518
1508722368,126513,126513
1508723296,126549,126549
1508724265,126525,126525
1508725223,126567,126567
1508726210,126561,126561
1508727386,126530,126530
1508728351,126542,126542
1508729292,126576,126576
1508730256,126583,126583
1508731243,126571,126571
1508732189,126601,126601
1508733136,126602,126602
1508734117,126590,126590
1508735065,126556,126556
1508736013,126581,126581
1508736995,126604,126604
1508737944,126628,126628
1508738893,126663,126663
1508739875,126654,126654
1508740816,126661,126661
1508741789,126655,126655
1508742751,126681,126681
1508743692,126667,126667
1508744666,126671,126671
1508745659,126680,126680
1508746582,126664,126664
1508747553,126651,126651
1508748497,126633,126633
1508749482,126647,126647
1508750413,126679,126679
1508751384,126690,126690
1508752341,126621,126621
1508753338,126586,126586
1508754268,126588,126588
1508756475,126567,126567
1508757424,126570,126570
1508759056,126584,126584
1508760011,126599,126599
1508760995,126602,126602
1508761939,126609,126609
1508762910,126624,126624
1508763865,126622,126622
1508764819,126636,126636
1508765783,126650,126650
1508766763,126651,126651
1508767693,126651,126651
1508768678,126650,126650
1508769624,126658,126658
1508770571,126662,126662
1508771555,126677,126677
1508772495,126688,126688
1508773454,126711,126711
1508774444,126718,126718
1508775380,126712,126712
1508776355,126698,126698
1508777305,126699,126699
1508778261,126708,126708
1508779225,126695,126695
1508780209,126698,126698
1508781149,126707,126707
1508782097,126701,126701
1508783067,126702,126702
1508784025,126714,126714
1508784972,126715,126715
1508785959,126723,126723
1508786892,126701,126701
1508787880,126696,126696
1508788828,126695,126695
1508789781,126697,126697
1508790749,126683,126683
1508791706,126696,126696
1508792672,126711,126711
1508793623,126714,126714
1508794673,126720,126720
1508795779,126722,126722
1508796731,126710,126710
1508797700,126709,126709
1508798667,126718,126718
1508799636,126710,126710
1508800583,126676,126676
1508801549,126672,126672
1508802496,126661,126661
1508803474,126662,126662
1508804675,126682,126682
1508805624,126642,126642
1508806575,126670,126670
1508807809,126696,126696
1508808753,126720,126720
1508809696,126755,126755
1508810912,126756,126756
1508811853,126764,126764
1508812826,126764,126764
1508813782,126790,126790
1508814758,126801,126801
1508815692,126802,126802
1508816655,126800,126800
1508817753,126816,126816
1508818824,126818,126818
1508819783,126828,126828
1508820741,126822,126822
1508821690,126818,126818
1508822664,126829,126829
1508823625,126810,126810
