DateTime,AddedIPs,RemovedIPs
1508689956,52,25
1508690921,34,13
1508691867,41,14
1508692817,30,10
1508693808,45,16
1508694750,45,8
1508695700,39,16
1508696657,55,5
1508697649,41,24
1508698599,46,12
1508699559,48,7
1508700505,44,5
1508701479,39,11
1508702513,47,16
1508703624,51,9
1508704581,49,5
1508705543,42,9
1508706772,56,9
1508707695,25,3
1508708658,36,8
1508709637,45,8
1508710593,43,7
1508711506,33,11
1508712502,49,9
1508713467,49,7
1508714436,35,6
1508715377,40,5
1508716355,42,10
1508717306,51,6
1508718516,77,10
1508719457,83,7
1508720441,55,10
1508721404,47,8
1508722368,50,11
1508723296,64,33
1508724265,50,81
1508725223,52,40
1508726210,47,17
1508727386,55,19
1508728351,47,24
1508729292,52,5
1508730256,55,11
1508731243,53,8
1508732189,43,4
1508733136,39,10
1508734117,67,48
1508735065,52,6
1508736013,57,40
1508736995,47,65
1508737944,48,34
1508738893,57,7
1508739875,42,61
1508740816,45,2
1508741789,42,34
1508742751,63,7
1508743692,42,26
1508744666,48,17
1508745659,50,22
1508746582,43,9
1508747553,36,12
1508748497,41,5
1508749482,69,45
1508750413,69,3
1508751384,48,43
1508752341,36,31
1508753338,64,63
1508754268,46,7
1508756475,141,195
1508757424,60,58
1508759056,101,117
1508760011,57,14
1508760995,56,70
1508761939,46,71
1508762910,71,107
1508763865,57,10
1508764819,63,64
1508765783,68,73
1508766763,50,61
1508767693,55,69
1508768678,56,72
1508769624,64,64
1508770571,67,79
1508771555,62,80
1508772495,65,85
1508773454,85,68
1508774444,78,75
1508775380,63,69
1508776355,53,87
1508777305,49,85
1508778261,75,71
1508779225,73,72
1508780209,59,45
1508781149,66,84
1508782097,67,100
1508783067,70,144
1508784025,96,157
1508784972,66,133
1508785959,72,185
1508786892,79,132
1508787880,75,91
1508788828,82,126
1508789781,95,137
1508790749,72,98
1508791706,84,100
1508792672,62,91
1508793623,84,145
1508794673,92,158
1508795779,61,172
1508796731,69,157
1508797700,64,159
1508798667,69,133
1508799636,76,202
1508800583,69,244
1508801549,69,165
1508802496,72,242
1508803474,79,217
1508804675,93,206
1508805624,97,252
1508806575,101,180
1508807809,137,145
1508808753,99,131
1508809696,85,153
1508810912,137,356
1508811853,76,12
1508812826,111,346
1508813782,60,26
1508814758,116,346
1508815692,62,13
1508816655,75,158
1508817753,116,233
1508818824,71,114
1508819783,61,64
1508820741,61,57
1508821690,66,53
1508822664,71,68
1508823625,65,75
1508824572,64,94
1508825557,80,90
1508826509,53,104
1508827459,53,74
1508829663,157,188
1508830608,52,84
1508831542,73,101
1508832505,82,188
1508833459,54,7
1508834426,67,10
1508835393,42,76
1508836335,54,62
1508837307,72,70
1508838271,56,45
1508839232,87,127
1508840180,59,15
1508841163,82,137
1508842116,62,6
1508843064,46,59
1508844027,50,66
1508844990,59,73
1508845986,89,132
1508846895,61,3
1508847868,59,68
1508848931,68,120
1508850037,62,57
1508850981,70,48
1508851950,44,54
1508852896,46,48
1508853900,71,57
1508854825,55,64
1508855783,49,47
1508856744,56,47
1508857742,49,47
1508858654,30,57
1508859614,36,61
1508860582,60,65
1508861670,52,59
1508862599,56,63
1508863569,51,56
1508864685,55,63
1508865971,83,36
1508866940,49,61
1508867922,69,69
1508868868,47,66
1508870938,138,172
1508872101,60,37
1508873063,58,55
1508874040,66,47
1508875239,64,37
1508876435,66,64
1508877399,68,53
1508878360,52,52
1508879308,52,43
1508880260,73,55
1508881215,74,75
1508882207,73,54
1508883136,61,64
1508884108,44,56
1508885054,40,75
1508886065,67,52
1508887001,41,50
