DateTime,Entries,UniqueIPs
1508689956,2693,2693
1508690921,2692,2692
1508691867,2704,2704
1508692817,2696,2696
1508693808,2696,2696
1508694750,2683,2683
1508695700,2686,2686
1508696657,2684,2684
1508697649,2698,2698
1508698599,2702,2702
1508699559,2699,2699
1508700505,2698,2698
1508701479,2703,2703
1508702513,2713,2713
1508703624,2703,2703
1508704581,2706,2706
1508705543,2704,2704
1508706772,2706,2706
1508707695,2703,2703
1508708658,2707,2707
1508709637,2711,2711
1508710593,2708,2708
1508711506,2713,2713
1508712502,2712,2712
1508713467,2724,2724
1508714436,2726,2726
1508715377,2723,2723
1508716355,2727,2727
1508717306,2724,2724
1508718516,2715,2715
1508719457,2709,2709
1508720441,2721,2721
1508721404,2711,2711
1508722368,2721,2721
1508723296,2726,2726
1508724265,2728,2728
1508725223,2743,2743
1508726210,2747,2747
1508727386,2756,2756
1508728351,2759,2759
1508729292,2765,2765
1508730256,2765,2765
1508731243,2766,2766
1508732189,2766,2766
1508733136,2770,2770
1508734117,2783,2783
1508735065,2783,2783
1508736013,2778,2778
1508736995,2779,2779
1508737944,2773,2773
1508738893,2793,2793
1508739875,2782,2782
1508740816,2788,2788
1508741789,2779,2779
1508742751,2775,2775
1508743692,2777,2777
1508744666,2774,2774
1508745659,2789,2789
1508746582,2788,2788
1508747553,2794,2794
1508748497,2790,2790
1508749482,2801,2801
1508750413,2806,2806
1508751384,2814,2814
1508752341,2807,2807
1508753338,2819,2819
1508754268,2809,2809
1508756475,2814,2814
1508757424,2814,2814
1508759056,2809,2809
1508760011,2800,2800
1508760995,2799,2799
1508761939,2812,2812
1508762910,2810,2810
1508763865,2827,2827
1508764819,2830,2830
1508765783,2842,2842
1508766763,2838,2838
1508767693,2837,2837
1508768678,2847,2847
1508769624,2847,2847
1508770571,2838,2838
1508771555,2826,2826
1508772495,2822,2822
1508773454,2821,2821
1508774444,2819,2819
1508775380,2816,2816
1508776355,2816,2816
1508777305,2824,2824
1508778261,2829,2829
1508779225,2848,2848
1508780209,2856,2856
1508781149,2854,2854
1508782097,2836,2836
1508783067,2840,2840
1508784025,2846,2846
1508784972,2852,2852
1508785959,2862,2862
1508786892,2863,2863
1508787880,2856,2856
1508788828,2855,2855
1508789781,2850,2850
1508790749,2855,2855
1508791706,2862,2862
1508792672,2863,2863
1508793623,2859,2859
1508794673,2860,2860
1508795779,2865,2865
1508796731,2863,2863
1508797700,2868,2868
1508798667,2873,2873
1508799636,2879,2879
1508800583,2880,2880
1508801549,2887,2887
1508802496,2872,2872
1508803474,2858,2858
1508804675,2853,2853
1508805624,2833,2833
1508806575,2822,2822
1508807809,2827,2827
1508808753,2829,2829
1508809696,2832,2832
1508810912,2856,2856
1508811853,2862,2862
1508812826,2866,2866
1508813782,2874,2874
1508814758,2881,2881
1508815692,2876,2876
1508816655,2876,2876
1508817753,2870,2870
1508818824,2871,2871
1508819783,2880,2880
1508820741,2881,2881
1508821690,2877,2877
1508822664,2883,2883
1508823625,2880,2880
1508824572,2884,2884
1508825557,2888,2888
1508826509,2877,2877
1508827459,2872,2872
1508829663,2871,2871
1508830608,2879,2879
1508831542,2888,2888
1508832505,2891,2891
1508833459,2889,2889
1508834426,2905,2905
1508835393,2912,2912
1508836335,2911,2911
1508837307,2916,2916
1508838271,2917,2917
