DateTime,AddedIPs,RemovedIPs
1508689953,8,18
1508690919,5,9
1508691863,7,8
1508692814,2,0
1508693806,4,20
1508694747,5,0
1508695697,8,13
1508696654,6,0
1508697646,6,9
1508698596,9,7
1508699556,1,10
1508700502,5,0
1508701477,5,5
1508702510,9,5
1508703621,6,3
1508704578,9,1
1508705541,4,4
1508706769,8,3
1508707692,6,9
1508708656,4,4
1508709634,7,8
1508710591,7,7
1508711503,10,4
1508712499,4,3
1508713464,13,4
1508714434,5,5
1508715375,9,3
1508716351,10,4
1508717303,13,14
1508718512,20,22
1508719454,25,18
1508720438,24,18
1508721401,18,21
1508722366,20,18
1508723293,23,9
1508724263,18,13
1508725221,31,10
1508726207,13,9
1508727384,14,6
1508728349,12,23
1508729290,15,0
1508730253,9,8
1508731241,16,17
1508732186,15,0
1508733133,9,6
1508734114,16,13
1508735063,12,0
1508736010,10,13
1508736992,4,14
1508737941,17,5
1508738890,15,0
1508739873,9,11
1508740813,17,0
1508741787,11,17
1508742749,17,0
1508743690,5,10
1508744663,12,2
1508745657,21,8
1508746580,15,0
1508747550,12,0
1508748495,9,8
1508749479,18,13
1508750411,17,0
1508751382,11,6
1508752339,7,1
1508753336,17,2
1508754266,13,0
1508756472,36,8
1508757422,13,5
1508759054,20,0
1508760009,12,0
1508760992,11,1
1508761937,14,3
1508762908,6,3
1508763862,12,0
1508764816,10,7
1508765781,10,7
1508766760,11,3
1508767691,8,0
1508768675,11,2
1508769621,4,0
1508770569,5,0
1508771552,2,2
1508772493,13,1
1508773451,12,0
1508774441,8,0
1508775378,8,0
1508776353,6,1
1508777303,7,2
1508778258,3,1
1508779223,8,0
1508780206,13,0
1508781146,6,0
1508782094,4,2
1508783065,10,0
1508784023,10,0
1508784969,12,2
1508785956,4,0
1508786890,8,0
1508787877,9,0
1508788826,5,0
1508789778,8,1
1508790746,6,1
1508791703,6,0
1508792669,8,0
1508793621,2,0
1508794670,10,0
1508795776,4,0
1508796728,7,0
1508797698,6,0
1508798665,9,0
1508799633,14,1
1508800580,6,0
1508801547,7,0
1508802493,6,0
1508803471,12,1
1508804672,16,0
1508805622,22,0
1508806573,17,0
1508807806,40,0
1508808751,31,0
1508809693,22,10
1508810910,40,85
1508811851,17,0
1508812824,19,24
1508813779,25,30
1508814756,15,45
1508815689,13,0
1508816652,14,21
1508817750,15,23
1508818821,16,13
1508819781,15,18
1508820739,13,17
1508821688,11,20
1508822661,18,20
1508823623,9,27
1508824570,13,54
1508825554,20,78
1508826506,12,71
1508827456,7,25
1508829660,30,134
1508830606,13,65
1508831540,19,73
1508832502,24,117
1508833456,11,0
1508834424,29,0
1508835391,8,25
1508836333,13,30
1508837305,21,48
1508838269,15,0
1508839230,17,44
1508840178,19,0
1508841161,12,39
1508842114,16,0
1508843062,8,25
1508844024,14,18
1508844988,6,21
1508845983,12,36
1508846892,13,0
1508847865,10,20
1508848929,4,42
1508850034,10,12
1508850979,10,6
1508851948,12,15
1508852894,4,12
1508853897,15,10
1508854823,16,11
1508855781,9,14
1508856742,6,6
1508857739,6,10
1508858651,2,9
1508859612,2,8
1508860580,8,11
1508861667,7,12
1508862597,10,21
1508863566,7,16
1508864682,7,11
1508865968,11,12
1508866937,6,22
1508867920,8,11
1508868865,2,12
1508870936,11,32
1508872098,8,11
1508873061,7,10
1508874037,9,9
1508875236,8,13
1508876433,6,9
1508877396,7,8
1508878357,6,7
1508879306,7,5
1508880258,4,9
1508881213,3,8
1508882205,3,9
1508883133,9,8
1508884106,4,11
1508885052,7,11
1508886062,9,6
1508886997,7,15
1508887941,2,11
1508888915,4,17
1508889879,5,34
1508890831,16,25
1508891784,12,27
1508892742,13,28
1508893732,12,42
1508894666,20,31
1508895613,14,16
1508896586,18,21
1508897555,20,15
1508898508,21,12
1508899457,17,14
1508900415,33,14
1508901402,14,16
1508902366,12,11
1508903428,20,16
1508904509,12,22
1508905476,20,15
1508906410,19,11
1508907385,14,23
1508908343,11,12
1508909310,8,14
1508910253,15,15
1508911234,12,11
1508912191,11,11
1508913158,11,13
1508914109,11,42
1508915072,14,0
1508916011,13,17
1508916999,12,9
1508917931,17,9
1508918916,11,17
1508919851,8,13
1508920840,9,20
1508921788,14,8
1508922735,13,16
1508923714,7,12
1508924673,12,11
1508925641,16,13
1508926599,11,17
1508927549,11,16
1508928501,10,13
1508929495,8,8
1508930428,12,5
1508931381,4,11
1508932340,8,13
1508933318,10,20
1508934254,7,9
1508935216,11,11
1508936193,13,15
1508937152,9,6
1508938103,14,0
1508939057,8,3
1508940036,6,5
1508940988,7,11
1508941948,7,12
1508942910,4,9
1508943885,10,10
1508944825,9,0
1508945893,17,24
1508947986,12,15
1508948910,6,10
1508949856,11,6
1508950817,7,5
1508951810,10,11
1508952739,5,11
1508953707,7,1
1508954660,6,9
1508955640,11,2
1508956571,7,7
1508957558,7,12
1508958490,11,7
1508959475,4,5
1508960421,5,11
1508961383,9,5
1508962347,5,4
1508963315,3,10
1508964266,8,7
1508965248,11,2
1508966177,9,2
1508967160,3,6
1508968099,7,5
1508969078,7,9
1508970021,9,0
1508970999,6,8
1508971940,5,6
1508972906,9,0
1508973868,7,6
1508974829,9,14
1508975769,13,10
1508977026,8,21
1508977945,11,18
1508978895,13,23
1508980875,18,35
1508982019,13,17
1508982980,15,25
1508983943,15,13
1508984891,26,18
1508985864,29,20
1508986831,24,9
1508987775,27,18
1508988753,29,9
1508989713,21,6
1508990662,20,10
1508991631,22,0
1508992835,26,44
1508993769,14,0
1508994999,16,28
1508995951,11,12
1508996893,15,11
1508997874,8,11
1508998825,15,6
1508999773,16,3
1509000751,3,17
1509001691,18,10
1509002653,9,10
1509003621,25,11
1509004580,17,7
1509005545,16,12
1509006496,10,14
1509007471,20,9
1509008418,21,14
1509009393,24,13
1509010339,11,10
1509011299,7,8
1509012285,17,13
1509013223,11,12
1509014189,8,10
1509015140,16,16
1509016092,8,8
1509017064,8,9
1509018021,8,12
1509018969,10,10
1509019951,11,9
1509020888,14,10
1509021859,4,5
1509022819,18,9
1509023806,5,17
1509024739,11,13
1509025706,5,12
1509026665,9,8
1509027614,11,15
1509028582,10,18
1509029543,5,19
1509030492,9,9
1509031475,9,17
1509032669,7,10
1509033632,6,10
1509034603,14,13
1509035535,6,10
1509036501,6,9
1509037456,2,6
1509038419,6,4
1509039382,4,13
1509040348,3,9
1509041315,14,12
1509042251,10,9
1509043210,2,4
1509044194,6,8
1509045147,7,4
1509046105,3,8
1509047055,6,9
1509048037,6,5
1509048976,9,11
1509049957,4,8
1509050897,7,3
1509051882,3,8
1509052839,15,5
1509053772,4,15
1509055063,5,0
1509056171,7,6
1509057159,8,2
1509058225,8,3
1509059193,3,6
1509061492,16,30
1509062408,4,28
1509063883,19,26
1509065064,9,41
1509066021,11,0
1509066976,15,27
1509067940,10,25
1509069146,14,40
1509070215,18,16
1509071307,12,12
1509072500,20,14
1509073470,15,12
1509074540,14,21
1509075616,12,15
1509076578,26,15
1509077540,20,12
1509078515,20,13
1509079452,9,10
1509080676,11,12
1509081629,11,13
1509082584,6,15
1509083556,16,12
1509084506,19,14
1509085456,17,10
1509086410,16,11
1509087395,14,15
1509088357,9,11
1509089312,10,16
1509090252,11,11
1509091236,13,10
1509092190,5,26
1509093139,13,16
1509094093,5,10
1509095081,12,11
1509096012,15,29
1509097102,10,16
1509098047,14,5
1509099404,20,25
1509100362,18,30
1509101292,4,28
