DateTime,AddedIPs,RemovedIPs
1508689953,9,6
1508690919,5,6
1508691863,7,0
1508692814,3,8
1508693806,4,6
1508694747,6,8
1508695697,8,7
1508696654,7,7
1508697646,6,5
1508698596,9,7
1508699556,1,8
1508700502,5,9
1508701477,6,3
1508702510,9,3
1508703621,6,9
1508704578,9,4
1508705541,4,6
1508706769,8,6
1508707692,6,9
1508708656,4,5
1508709634,8,5
1508710591,7,10
1508711503,10,4
1508712499,4,5
1508713464,14,5
1508714434,5,8
1508715375,9,12
1508716351,11,8
1508717303,13,9
1508718512,20,31
1508719454,25,26
1508720438,25,16
1508721401,18,22
1508722366,20,12
1508723293,23,14
1508724263,18,14
1508725221,31,15
1508726207,13,8
1508727384,14,7
1508728349,12,10
1508729290,15,11
1508730253,10,15
1508731241,16,13
1508732186,15,11
1508733133,10,9
1508734114,16,5
1508735063,12,11
1508736010,11,9
1508736992,4,6
1508737941,17,17
1508738890,15,5
1508739873,9,13
1508740813,17,13
1508741787,11,14
1508742749,17,19
1508743690,5,8
1508744663,12,17
1508745657,21,9
1508746580,15,7
1508747550,12,11
1508748495,9,9
1508749479,18,10
1508750411,17,9
1508751382,11,10
1508752339,7,3
1508753336,17,7
1508754266,13,11
1508756472,36,31
1508757422,13,5
1508759054,20,14
1508760009,12,13
1508760992,11,7
1508761937,14,8
1508762908,6,8
1508763862,12,15
1508764816,10,13
1508765781,10,9
1508766760,11,11
1508767691,8,10
1508768675,11,6
1508769621,4,8
1508770569,5,10
1508771552,2,8
1508772493,13,8
1508773451,12,8
1508774441,8,8
1508775378,8,11
1508776353,6,5
1508777303,7,6
1508778258,3,5
1508779223,8,6
1508780206,13,3
1508781146,6,9
1508782094,4,14
1508783065,10,5
1508784023,10,5
1508784969,12,9
1508785956,4,5
1508786890,8,7
1508787877,9,10
1508788826,5,4
1508789778,8,9
1508790746,6,4
1508791703,6,2
1508792669,8,4
1508793621,2,8
1508794670,10,6
1508795776,4,4
1508796728,7,9
1508797698,6,6
1508798665,9,2
1508799633,14,10
1508800580,6,9
1508801547,7,6
1508802493,6,16
1508803471,12,25
1508804672,16,25
1508805622,22,42
1508806573,17,24
1508807806,40,31
1508808751,31,29
1508809693,22,13
1508810910,40,18
1508811851,17,9
1508812824,19,18
1508813779,25,14
1508814756,15,10
1508815689,13,12
1508816652,14,6
1508817750,15,16
1508818821,16,16
1508819781,15,10
1508820739,13,10
1508821688,11,15
1508822661,18,11
1508823623,9,16
1508824570,13,12
1508825554,20,17
1508826506,12,14
1508827456,7,13
1508829660,30,39
1508830606,13,7
1508831540,19,9
1508832502,24,11
1508833456,11,8
1508834424,29,11
1508835391,8,16
1508836333,13,8
1508837305,21,15
1508838269,15,10
1508839230,17,15
1508840178,19,13
1508841161,12,8
1508842114,16,7
1508843062,8,14
1508844024,14,19
1508844988,6,14
1508845983,12,7
1508846892,13,13
1508847865,10,10
1508848929,4,5
1508850034,10,16
1508850979,10,9
1508851948,12,6
1508852894,4,7
1508853897,15,17
1508854823,16,7
1508855781,9,7
1508856742,6,6
1508857739,6,6
1508858651,2,9
1508859612,2,3
1508860580,8,12
1508861667,7,6
1508862597,10,4
1508863566,7,14
1508864682,7,16
1508865968,11,10
1508866937,6,6
1508867920,8,8
1508868865,2,10
1508870936,11,17
1508872098,8,7
1508873061,7,12
1508874037,9,11
1508875236,8,5
1508876433,6,8
1508877396,7,16
1508878357,6,10
1508879306,7,12
1508880258,4,11
1508881213,3,5
1508882205,3,7
1508883133,9,9
1508884106,4,5
1508885052,7,7
1508886062,9,10
1508886997,7,11
1508887941,2,9
1508888915,4,6
1508889879,5,21
1508890831,16,37
1508891784,12,25
1508892742,13,22
1508893732,12,22
1508894666,20,29
1508895613,14,23
1508896586,18,20
1508897555,20,18
1508898508,21,14
1508899457,17,10
1508900415,33,20
1508901402,14,16
1508902366,12,10
1508903428,20,18
1508904509,12,13
1508905476,20,17
1508906410,19,12
1508907385,14,18
1508908343,11,8
1508909310,8,10
1508910253,15,13
1508911234,12,13
1508912191,11,9
1508913158,11,16
1508914109,11,7
1508915072,14,15
1508916011,13,17
1508916999,12,29
1508917931,17,14
1508918916,11,16
1508919851,8,10
