DateTime,AddedIPs,RemovedIPs
1508689956,61,18
1508690921,47,6
1508691867,46,7
1508692817,53,0
1508693808,53,7
1508694750,65,0
1508695700,45,6
1508696657,68,0
1508697649,54,9
1508698599,48,2
1508699559,61,1
1508700505,51,0
1508701479,43,6
1508702513,54,5
1508703624,62,0
1508704581,50,3
1508705543,49,2
1508706772,71,0
1508707695,26,0
1508708658,42,1
1508709637,46,5
1508710593,51,3
1508711506,32,6
1508712502,61,2
1508713467,43,3
1508714436,37,2
1508715377,38,1
1508716355,47,0
1508717306,47,2
1508718516,68,4
1508719457,69,4
1508720441,43,0
1508721404,49,0
1508722368,46,3
1508723296,52,31
1508724265,43,80
1508725223,36,36
1508726210,44,15
1508727386,57,14
1508728351,44,17
1508729292,48,0
1508730256,58,5
1508731243,48,5
1508732189,37,0
1508733136,45,0
1508734117,50,55
1508735065,54,0
1508736013,58,41
1508736995,46,68
1508737944,48,29
1508738893,51,0
1508739875,42,60
1508740816,42,0
1508741789,46,28
1508742751,66,0
1508743692,55,19
1508744666,58,7
1508745659,42,18
1508746582,52,0
1508747553,33,8
1508748497,45,4
1508749482,62,40
1508750413,64,0
1508751384,42,46
1508752341,49,25
1508753338,56,70
1508754268,53,0
1508756475,121,214
1508757424,68,61
1508759056,105,132
1508760011,83,0
1508760995,59,78
1508761939,52,71
1508762910,68,128
1508763865,69,0
1508764819,52,76
1508765783,68,75
1508766763,40,74
1508767693,48,78
1508768678,50,77
1508769624,68,66
1508770571,83,78
1508771555,79,81
1508772495,50,101
1508773454,73,95
1508774444,69,91
1508775380,63,83
1508776355,59,93
1508777305,45,90
1508778261,75,82
1508779225,71,78
1508780209,59,42
1508781149,59,99
1508782097,64,113
1508783067,65,169
1508784025,76,192
1508784972,51,147
1508785959,47,237
1508786892,67,163
1508787880,63,110
1508788828,70,157
1508789781,86,174
1508790749,71,123
1508791706,87,130
1508792672,52,127
1508793623,72,196
1508794673,66,214
1508795779,57,192
1508796731,64,168
1508797700,48,173
1508798667,69,136
1508799636,65,210
1508800583,57,257
1508801549,74,168
1508802496,71,249
1508803474,73,218
1508804675,75,227
1508805624,62,286
1508806575,87,204
1508807809,88,178
1508808753,66,157
1508809696,65,188
1508810912,82,416
1508811853,76,0
1508812826,58,471
1508813782,53,0
1508814758,63,562
1508815692,73,0
1508816655,62,184
1508817753,82,286
1508818824,66,134
1508819783,51,76
1508820741,41,80
1508821690,55,60
1508822664,68,58
1508823625,49,86
1508824572,54,75
1508825557,62,62
1508826509,61,64
1508827459,67,59
1508829663,150,129
