DateTime,Entries,UniqueIPs
1508689956,73357,87255
1508690921,73390,87296
1508691867,73424,87335
1508692817,73461,87388
1508693808,73499,87434
1508694750,73552,87499
1508695700,73584,87538
1508696657,73642,87606
1508697649,73673,87651
1508698599,73708,87697
1508699559,73762,87757
1508700505,73804,87808
1508701479,73838,87845
1508702513,73866,87894
1508703624,73914,87956
1508704581,73959,88003
1508705543,73996,88050
1508706772,74055,88121
1508707695,74077,88147
1508708658,74103,88188
1508709637,74140,88229
1508710593,74182,88277
1508711506,74197,88303
1508712502,74245,88362
1508713467,74281,88402
1508714436,74315,88437
1508715377,74348,88474
1508716355,74384,88521
1508717306,74427,88566
1508718516,74482,88630
1508719457,74542,88695
1508720441,74574,88738
1508721404,74609,88787
1508722368,74641,88830
1508723296,74657,88851
1508724265,74618,88814
1508725223,74614,88814
1508726210,74640,88843
1508727386,74676,88886
1508728351,74700,88913
1508729292,74740,88961
1508730256,74788,89014
1508731243,74831,89057
1508732189,74863,89094
1508733136,74897,89139
1508734117,74902,89134
1508735065,74947,89188
1508736013,74972,89205
1508736995,74955,89183
1508737944,74967,89202
1508738893,75006,89253
1508739875,74987,89235
1508740816,75026,89277
1508741789,75037,89295
1508742751,75092,89361
1508743692,75118,89397
1508744666,75154,89448
1508745659,75174,89472
1508746582,75217,89524
1508747553,75238,89549
1508748497,75279,89590
1508749482,75301,89612
1508750413,75359,89676
1508751384,75363,89672
1508752341,75376,89696
1508753338,75367,89682
1508754268,75411,89735
1508756475,75353,89642
1508757424,75365,89649
1508759056,75369,89622
1508760011,75424,89705
1508760995,75418,89686
1508761939,75393,89667
1508762910,75356,89607
1508763865,75413,89676
1508764819,75405,89652
1508765783,75398,89645
1508766763,75386,89611
1508767693,75365,89581
1508768678,75344,89554
1508769624,75351,89556
1508770571,75350,89561
1508771555,75341,89559
1508772495,75310,89508
1508773454,75319,89486
1508774444,75318,89464
1508775380,75318,89444
1508776355,75292,89410
1508777305,75250,89365
1508778261,75255,89358
1508779225,75252,89351
1508780209,75266,89368
1508781149,75242,89328
1508782097,75202,89279
1508783067,75109,89175
1508784025,75022,89059
1508784972,74939,88963
1508785959,74784,88773
1508786892,74706,88677
1508787880,74675,88630
1508788828,74619,88543
1508789781,74549,88455
