DateTime,AddedIPs,RemovedIPs
1508689956,780,780
1508690921,645,645
1508691867,751,751
1508692817,636,636
1508693808,670,670
1508694750,600,600
1508695700,694,694
1508696657,723,723
1508697649,732,732
1508698599,696,696
1508699559,731,731
1508700505,780,780
1508701479,665,665
1508702513,780,780
1508703624,844,844
1508704581,675,675
1508705543,738,738
1508706772,866,866
1508707695,562,562
1508708658,756,756
1508709637,660,660
1508710593,791,791
1508711506,655,655
1508712502,799,799
1508713467,695,695
1508714436,687,687
1508715377,660,660
1508716355,827,827
1508717306,718,718
1508718516,787,787
1508719457,712,712
1508720441,699,699
1508721404,713,713
1508722368,716,716
1508723296,773,773
1508724265,687,687
1508725223,692,692
1508726210,639,639
1508727386,970,970
1508728351,668,668
1508729292,691,691
1508730256,763,763
1508731243,694,694
1508732189,694,694
1508733136,611,611
1508734117,737,737
1508735065,705,705
1508736013,657,657
1508736995,682,682
1508737944,644,644
1508738893,817,817
1508739875,572,572
1508740816,774,774
1508741789,688,688
1508742751,679,679
1508743692,667,667
1508744666,728,728
1508745659,757,757
1508746582,770,770
1508747553,598,598
1508748497,655,655
1508749482,793,793
1508750413,661,661
1508751384,700,700
1508752341,632,632
1508753338,672,672
1508754268,604,604
1508756475,1613,1613
1508757424,805,805
1508759056,1147,1147
1508760011,790,790
1508760995,736,736
1508761939,682,682
1508762910,684,684
1508763865,866,866
1508764819,631,631
1508765783,809,809
1508766763,633,633
1508767693,672,672
1508768678,701,701
1508769624,814,814
1508770571,845,845
1508771555,772,772
1508772495,552,552
1508773454,710,710
1508774444,756,756
1508775380,693,693
1508776355,759,759
1508777305,638,638
1508778261,724,724
1508779225,767,767
1508780209,641,641
1508781149,740,740
1508782097,802,802
1508783067,736,736
1508784025,818,818
1508784972,818,818
1508785959,657,657
1508786892,770,770
1508787880,680,680
1508788828,808,808
1508789781,793,793
1508790749,717,717
1508791706,894,894
1508792672,614,614
1508793623,808,808
1508794673,830,830
1508795779,811,811
1508796731,720,720
1508797700,654,654
1508798667,836,836
1508799636,775,775
1508800583,692,692
1508801549,791,791
1508802496,805,805
1508803474,813,813
1508804675,886,886
1508805624,695,695
1508806575,974,974
1508807809,900,900
1508808753,717,717
1508809696,724,724
1508810912,893,893
1508811853,735,735
1508812826,715,715
1508813782,620,620
1508814758,708,708
1508815692,738,738
1508816655,754,754
1508817753,783,783
1508818824,971,971
1508819783,641,641
1508820741,658,658
1508821690,801,801
1508822664,763,763
1508823625,746,746
1508824572,636,636
1508825557,675,675
1508826509,711,711
1508827459,756,756
1508829663,1593,1593
1508830608,625,625
1508831542,675,675
1508832505,819,819
1508833459,609,609
1508834426,796,796
1508835393,703,703
1508836335,672,672
1508837307,786,786
1508838271,683,683
1508839232,834,834
1508840180,628,628
1508841163,730,730
1508842116,744,744
1508843064,727,727
1508844027,614,614
1508844990,754,754
1508845986,850,850
1508846895,819,819
1508847868,662,662
1508848931,801,801
1508850037,852,852
1508850981,840,840
1508851950,611,611
1508852896,818,818
1508853900,806,806
1508854825,624,624
1508855783,658,658
1508856744,758,758
1508857742,788,788
1508858654,534,534
1508859614,735,735
1508860582,719,719
1508861670,738,738
1508862599,751,751
1508863569,695,695
1508864685,764,764
1508865971,1025,1025
1508866940,571,571
1508867922,774,774
1508868868,748,748
1508870938,1387,1387
1508872101,884,884
1508873063,623,623
1508874040,701,701
1508875239,839,839
1508876435,769,769
1508877399,717,717
1508878360,809,809
1508879308,693,693
1508880260,779,779
1508881215,645,645
1508882207,828,828
1508883136,731,731
1508884108,760,760
1508885054,592,592
1508886065,802,802
1508887001,727,727
1508887943,650,650
1508888918,830,830
1508889881,699,699
1508890833,705,705
1508891787,742,742
1508892744,791,791
1508893735,660,660
1508894669,708,708
1508895616,783,783
1508896590,693,693
1508897558,722,722
1508898512,609,609
1508899460,632,632
1508900417,799,799
1508901405,648,648
1508902368,790,790
1508903430,749,749
1508904511,889,889
1508905478,805,805
1508906413,698,698
1508907387,720,720
1508908346,645,645
1508909313,688,688
1508910256,705,705
1508911236,647,647
1508912193,735,735
1508913161,754,754
1508914111,780,780
1508915075,759,759
1508916013,573,573
1508917002,764,764
1508917933,732,732
1508918919,575,575
1508919854,778,778
1508920842,595,595
1508921790,655,655
1508922738,681,681
1508923716,660,660
1508924676,611,611
1508925644,695,695
1508926601,676,676
1508927551,731,731
1508928504,764,764
1508929498,688,688
1508930431,595,595
1508931384,643,643
1508932342,698,698
1508933321,778,778
1508934257,678,678
1508935219,696,696
1508936195,613,613
1508937154,839,839
1508938106,777,777
1508939060,760,760
1508940039,726,726
1508940990,640,640
1508941950,711,711
1508942913,812,812
