DateTime,Entries,UniqueIPs
1507580643,6451,6451
1507584723,6433,6433
1507588563,6441,6441
1507592402,6437,6437
1507596243,6441,6441
1507598162,6419,6419
1507605842,6400,6400
1507607763,6383,6383
1507611608,6370,6370
1507613522,6398,6398
1507617362,6383,6383
1507619282,6370,6370
1507621204,6393,6393
1507623123,6405,6405
1507625043,6397,6397
1507628883,6411,6411
1507631042,6417,6417
1507632963,6397,6397
1507634883,6427,6427
1507638723,6431,6431
1507642562,6438,6438
1507646402,6453,6453
1507650244,6431,6431
1507652162,6473,6473
1507654083,6458,6458
1507661043,6483,6483
1507664882,6487,6487
1507666802,6469,6469
1507668722,6460,6460
1507672563,6432,6432
1507676410,6387,6387
1507678322,6428,6428
1507682162,6397,6397
1507686244,6406,6406
1507690082,6374,6374
1507693922,6382,6382
1507697763,6377,6377
1507701610,6385,6385
1507703522,6366,6366
1507707362,6390,6390
1507711202,6366,6366
1507713122,6406,6406
1507715044,6418,6418
1507718882,6415,6415
1507722723,6428,6428
1507728485,6415,6415
1507730408,6436,6436
1507732322,6493,6493
1507738082,6436,6436
1507740002,6492,6492
1507743844,6488,6488
1507747684,6486,6486
1507753443,6505,6505
1507755364,6463,6463
1507759214,6437,6437
1507761122,6404,6404
1507765202,6403,6403
1507769043,6371,6371
1507772882,6365,6365
1507776722,6350,6350
1507780563,6321,6321
1507784411,6328,6328
1507788243,6359,6359
1507790163,6359,6359
1507795922,6370,6370
1507797845,6399,6399
1507801683,6405,6405
1507805523,6410,6410
1507809364,6405,6405
1507813210,6405,6405
1507817284,6439,6439
1507819202,6447,6447
1507823043,6455,6455
1507827122,6467,6467
1507830964,6474,6474
1507834809,6489,6489
1507836966,6495,6495
1507840805,6454,6454
1507842722,6495,6495
1507844644,6455,6455
1507846562,6489,6489
1507848485,6407,6407
1507852323,6431,6431
1507856417,6396,6396
1507858323,6397,6397
1507862162,6380,6380
1507866004,6363,6363
1507869842,6362,6362
1507873683,6377,6377
1507877522,6373,6373
1507883283,6380,6380
1507887124,6394,6394
1507889043,6407,6407
1507890964,6393,6393
1507894805,6408,6408
1507898644,6420,6420
