DateTime,AddedIPs,RemovedIPs
1508236815,1,0
1508238613,2,0
1508244613,0,1
1508245513,66,6
1508245815,127,9
1508246415,272,6
1508247014,234,12
1508247312,114,3
1508247615,119,0
1508248214,237,3
1508248514,5,0
1508251215,0,1
1508253615,1,0
1508253914,1,0
1508254513,2,0
1508254814,0,2
1508255114,0,4
1508255414,0,4
1508256014,0,1
1508259015,1,0
1508266815,1,0
1508268015,0,1
1508268914,0,1
1508280015,1,0
1508280914,1,0
1508283914,0,1
1508285414,0,1
1508287514,0,1
1508290215,0,1
1508290814,3,0
1508294113,1,0
1508298914,0,2
1508308514,0,1
1508310914,0,1
1508315415,1,0
1508318116,181,6
1508318415,118,3
1508319014,0,1
1508319614,3,0
1508320216,8,0
1508320514,64,0
1508322014,1,1
1508322913,1,0
1508323215,0,1
1508329523,41,0
1508331314,112,0
1508332214,44,0
1508332815,404,18
1508333119,221,39
1508333714,474,3
1508334015,248,8
1508334315,227,15
1508334615,227,3
1508334914,239,14
1508335215,232,33
1508335814,487,3
1508336114,243,7
1508336415,253,0
1508336716,233,10
1508337014,244,21
1508337615,474,19
1508337915,248,9
1508338514,317,6
1508338815,114,0
1508339414,165,31
1508340321,1,0
1508340616,0,1
1508344214,1,0
1508345415,0,1
1508352015,0,1
1508363714,1,0
1508366414,0,6
1508370314,1,0
1508372415,0,1
1508379616,0,1
1508386215,0,1
1508388914,1,0
1508395215,1,0
1508396114,0,1
1508397315,0,1
1508399115,0,1
1508401214,1,0
1508401815,1,0
1508404216,0,1
1508405115,3,0
1508405714,1,0
1508406315,86,3
1508407215,2,0
1508407515,2,0
1508407815,0,1
1508414415,1,0
1508416814,1,0
1508418614,0,1
1508424315,0,1
1508428814,1,0
1508436314,0,1
1508437814,1,0
1508441414,0,1
1508450416,0,1
1508454614,0,1
1508459714,0,1
1508460915,0,1
1508468415,0,1
1508470815,1,0
1508472614,0,1
1508473520,0,1
1508473816,0,1
1508474417,1,0
1508474715,1,0
1508476215,1,0
1508478014,1,0
1508482815,1,0
1508484613,1,0
1508485214,1,1
1508486114,2,0
1508486416,3,0
1508487014,6,0
1508487914,155,3
1508488215,0,1
1508492414,3,0
1508492714,2,0
1508493313,3,0
1508494515,0,1
1508498113,1,0
1508501413,0,1
1508502016,0,1
1508504414,0,1
1508509514,0,1
