DateTime,AddedIPs,RemovedIPs
1508867284,58,123
1508867522,12,0
1508868147,8,8
1508870646,76,16
1508871121,10,8
1508871807,9,5
1508872564,13,140
1508872921,11,4
1508873521,1,0
1508874121,6,1
1508874971,6,0
1508875407,11,4
1508876403,86,0
1508876522,2,1
1508877181,3,7
1508877722,1,0
1508878324,51,13
1508878922,7,9
1508878947,0,2
1508879522,12,5
1508880247,13,134
1508881322,9,9
1508882165,78,9
1508882608,14,3
1508883722,11,3
1508884322,3,5
1508884921,5,1
1508885521,5,7
1508886024,65,185
1508886208,38,4
1508886722,4,0
1508887321,3,0
1508887922,92,0
1508888522,2,3
1508889122,6,3
1508889866,1,95
1508890323,7,0
1508890922,6,4
1508891522,1,3
1508891762,71,0
1508892122,5,0
1508892721,1,0
1508893408,11,13
1508893922,10,0
1508894521,5,0
1508895121,3,3
1508895603,85,5
1508895722,4,9
1508896322,3,0
1508897008,3,14
1508897526,3,156
1508898122,1,0
1508898781,2,7
1508899444,96,1
1508900522,4,1
1508901122,1,3
1508901364,0,91
1508901721,3,2
1508902322,1,1
1508902922,1,0
1508903522,4,3
1508904210,2,8
1508904721,1,5
1508905445,165,117
1508906522,7,8
1508907808,7,7
1508908322,1,2
1508908922,2,7
1508909285,112,10
1508909581,0,4
1508910121,5,24
1508910722,5,3
1508911206,74,191
1508911408,4,1
1508911921,7,5
1508912522,2,0
1508913126,64,71
1508913722,4,3
1508914948,0,1
1508915522,0,7
1508916122,3,2
1508916963,57,6
1508917323,3,0
1508917922,21,2
1508918608,4,4
1508918883,6,52
1508919385,0,2
1508919721,1,4
1508920322,1,0
1508920805,64,54
1508920921,3,4
1508921521,1,0
1508922208,1,2
1508923981,0,6
1508924644,69,99
1508925748,16,7
1508926322,5,2
1508926921,3,0
1508928121,1,6
1508928484,73,0
1508929348,0,5
1508930522,10,6
1508931121,2,2
1508931181,14,26
1508931722,10,3
1508932325,62,132
1508932922,0,6
1508933521,8,10
1508934015,101,127
1508934122,3,3
1508935321,3,4
1508935922,0,9
1508936548,2,2
1508938084,64,9
1508938381,1,1
1508938921,2,3
1508940014,80,110
1508940208,0,7
1508940722,0,2
1508941322,4,16
1508941922,85,0
1508942522,2,0
1508943122,6,5
1508943748,1,0
1508944321,0,1
1508944922,0,2
1508945762,0,81
1508946121,4,6
1508947926,197,36
1508948895,3,12
1508949181,1,0
1508949722,2,0
1508950922,1,2
1508951764,1,123
1508952632,1,0
1508953321,0,2
1508953682,78,0
1508953921,0,4
1508954548,1,10
1508955721,0,9
1508956321,1,0
1508956922,1,2
1508957524,74,86
1508958722,5,0
1508959445,20,17
1508959921,1,1
1508959981,1,5
1508960522,2,0
1508961121,1,0
1508961363,78,69
1508961808,2,5
1508962322,2,0
1508963287,3,79
1508963774,3,0
1508965207,498,0
1508965408,3,1
1508966522,4,1
1508967124,54,484
1508967181,1,8
1508967722,7,0
1508968322,0,1
1508969043,108,39
1508970121,3,4
1508970963,58,146
1508971322,4,2
1508972521,18,1
1508972549,0,1
1508973722,1,4
1508974804,90,78
1508974922,0,7
1508976148,1,2
1508976722,62,18
1508977322,0,8
1508977922,1,0
1508978645,0,147
1508979122,1,0
1508980804,89,16
1508980922,0,1
1508982123,16,5
1508982723,89,72
1508983409,11,2
1508984644,70,84
1508985121,3,0
1508985721,2,1
1508986565,79,183
1508987009,4,13
1508988121,4,2
1508989321,0,12
1508989922,0,2
1508990412,75,0
1508990609,2,0
1508991722,21,15
1508992321,10,0
1508993295,3,6
1508993521,1,0
1508994486,81,214
1508994722,0,3
1508995321,4,10
1508995921,4,1
1508996522,16,8
1508997809,12,23
1508998324,147,0
1508998922,1,11
1508999522,2,0
1509000722,3,7
1509001321,0,2
1509001409,0,2
1509002164,6,71
1509002522,2,4
1509003122,1,14
1509004083,60,104
1509004322,0,1
1509004949,1,22
1509006003,92,0
1509006121,20,6
1509006721,1,3
1509007321,5,3
1509007931,41,81
1509008521,25,5
1509008609,0,1
1509009121,1,0
1509009721,10,22
1509010322,0,2
1509010922,9,1
1509011764,76,108
1509012209,10,16
1509013322,1,10
1509013981,5,0
1509014521,17,5
1509015122,1,0
1509015611,64,0
1509015722,7,5
1509015749,0,2
1509016321,2,0
1509016921,14,28
1509017525,25,98
1509018121,2,22
1509019443,98,1
1509020521,4,9
1509021365,57,59
1509021722,3,31
1509022921,4,0
1509023009,0,5
1509024121,10,1
1509024721,6,12
1509025205,70,45
1509025322,3,3
1509025921,5,14
1509026549,4,6
1509027121,0,12
1509027722,1,13
1509029046,71,56
1509029521,0,1
1509030123,14,2
1509030209,0,5
1509030962,0,61
1509031322,2,10
1509031922,2,2
1509032522,3,16
1509033123,61,0
1509033721,3,2
1509033749,12,1
1509034322,0,1
1509035043,75,66
1509036122,3,12
1509036721,1,0
1509036965,65,11
1509037322,3,0
1509037922,2,0
1509038886,26,60
1509039122,1,0
1509039722,7,4
1509040815,78,62
1509040949,10,7
1509041522,4,10
1509042121,4,0
1509042723,84,24
1509043922,8,0
1509044646,10,138
1509045721,12,0
1509046562,74,9
1509046922,3,0
1509048209,10,13
1509049322,2,8
1509049922,1,4
1509050404,0,77
1509050522,2,5
1509051858,11,13
1509052323,65,6
1509052922,7,3
1509054243,61,16
1509054721,1,1
1509055349,4,6
1509055922,4,14
1509056647,13,71
1509057121,20,21
1509057721,27,14
1509058564,61,85
1509058950,2,4
1509061206,103,75
1509061921,2,4
1509062549,4,5
1509063122,1,9
1509064322,3,16
1509064381,12,0
1509065525,165,173
1509066505,7,7
1509066722,2,0
1509067322,1,23
1509067981,15,5
1509068521,5,3
1509069617,121,1
1509069721,2,0
1509069809,0,2
1509070322,1,7
1509070922,1,0
1509071763,78,18
1509072122,1,5
1509072722,3,2
1509073350,7,0
1509073923,0,162
1509074521,16,2
1509075722,6,26
1509077010,2,3
1509077762,84,0
1509078122,3,37
1509078781,1,12
1509079321,2,0
1509079682,63,6
1509079923,0,6
1509080610,14,0
1509081141,16,6
1509081604,0,189
1509081721,11,14
1509082922,0,2
1509083521,0,15
1509084122,2,0
1509084150,0,1
1509084722,1,16
1509085322,1,2
1509085921,1,0
1509086522,12,2
1509087121,2,1
1509087364,146,97
1509087810,7,10
1509088322,0,5
1509089286,77,4
1509089582,1,0
1509090122,1,0
1509090722,0,1
1509091410,18,12
1509093123,43,56
1509093722,1,15
1509095010,4,0
1509095773,5,7
1509096122,1,0
1509096722,4,0
1509096781,2,1
1509097322,11,13
1509097921,5,0
1509098521,3,32
1509098884,49,105
1509100322,5,2
1509100922,2,12
1509102210,31,4
1509102722,23,2
1509103322,9,20
1509104643,70,16
1509105122,1,0
1509105722,1,0
1509105750,2,1
1509106564,77,104
1509106921,1,6
1509107581,22,0
1509108121,27,23
1509108482,81,0
1509108721,5,18
1509109322,8,9
1509109921,2,0
1509110657,3,71
1509111722,8,1
1509113010,4,0
1509113522,1,1
1509114121,10,5
1509114482,57,0
1509114781,2,0
1509115321,6,0
1509115921,1,4
1509116419,74,65
1509116522,1,0
1509117722,3,6
1509118323,56,50
1509118381,4,1
1509118921,6,2
1509119522,1,6
1509120210,2,15
1509121321,2,17
