DateTime,AddedIPs,RemovedIPs
1508811121,1,0
1508811721,3,1
1508812921,3,0
1508813522,4,1
1508814122,3,3
1508814722,8,0
1508815321,10,9
1508816521,5,9
1508817721,3,4
1508818322,3,0
1508818922,0,3
1508819521,1,0
1508821321,2,5
1508822522,12,3
1508823122,43,35
1508823722,6,0
1508824322,3,1
1508824921,2,3
1508825521,0,2
1508826121,0,3
1508826781,5,0
1508827922,1,1
1508829121,1,13
1508829722,1,0
1508830574,1,7
1508831522,1,7
1508832122,8,1
1508832721,0,4
1508833922,0,2
1508834523,18,7
1508835722,11,5
1508836922,4,5
1508837581,0,2
1508838122,0,1
1508838721,0,4
1508839321,2,6
1508840521,1,4
1508841121,2,0
1508841181,0,1
1508842322,3,3
1508842922,2,4
1508844122,2,1
1508845457,0,1
1508845922,0,1
1508846521,13,24
1508847721,1,0
1508848321,8,0
1508848381,13,12
1508848921,0,4
1508849522,19,8
1508850121,19,1
1508851322,3,0
1508852521,1,0
1508853122,1,5
1508853722,45,11
1508854322,14,0
1508854922,3,0
1508855522,2,0
1508856121,6,1
1508857322,4,3
1508857922,4,0
1508858521,1,0
1508859122,2,0
1508859721,5,1
1508860922,1,0
1508862121,2,5
1508862781,3,1
1508863322,15,4
1508863922,9,0
1508865122,13,19
1508865722,2,5
1508866922,4,5
1508867522,12,0
1508868121,8,1
1508870522,5,3
1508871121,10,8
1508871722,9,0
1508872322,13,0
1508872921,11,4
1508873521,1,0
1508874121,6,1
1508874971,6,0
1508875321,8,4
1508876522,2,1
1508877181,3,7
1508877722,1,0
1508878922,7,9
1508879522,12,5
1508880122,13,2
1508881322,9,9
1508881922,16,9
1508882522,14,2
1508883722,11,3
1508884322,3,5
1508884921,5,1
1508885521,5,7
1508886122,38,4
1508886722,4,0
1508887321,3,0
1508887921,5,0
1508888522,2,3
1508889122,6,3
1508889866,1,1
1508890323,7,0
1508890922,6,4
1508891522,1,3
1508892122,5,0
1508892721,1,0
1508893323,11,11
1508893922,10,0
1508894521,5,0
1508895121,3,3
1508895722,4,9
1508896322,3,0
1508896922,3,14
1508897522,3,4
1508898122,1,0
1508898781,2,7
1508899322,10,1
1508900522,4,1
1508901122,1,2
1508901721,3,2
1508902322,1,1
1508902922,1,0
1508903522,4,3
1508904122,1,1
1508904721,1,5
1508905321,0,5
1508906522,7,8
1508907721,7,6
1508908322,1,2
1508908922,2,7
1508909581,0,4
1508910121,5,24
1508910722,5,3
1508911321,4,0
1508911921,7,5
1508912522,2,0
1508913122,2,9
1508913722,4,3
1508914922,0,1
1508915522,0,7
1508916122,3,2
1508916781,1,0
1508917323,3,0
1508917922,21,2
1508918522,4,1
1508919385,0,2
1508919721,1,4
1508920322,1,0
1508920381,1,0
1508920921,3,4
1508921521,1,0
1508922122,1,2
1508923981,0,6
1508924522,6,0
1508925721,16,6
1508926322,2,3
1508926921,3,0
1508928121,1,6
1508929322,0,4
1508930522,10,6
1508931121,2,2
1508931181,14,26
1508931722,10,3
1508932922,0,6
1508933521,8,10
1508934015,177,172
1508934122,3,3
1508935321,3,4
1508935922,0,9
1508936521,1,2
1508937721,0,9
1508938381,1,1
1508938921,2,3
1508940722,0,2
1508941322,4,16
1508942522,2,0
1508943122,6,5
1508944321,0,1
1508944922,0,2
1508946121,4,6
1508947921,4,7
1508948895,3,12
1508949181,1,0
1508949722,2,0
1508950922,1,2
1508952632,1,0
1508953321,0,2
1508953921,0,4
1508954522,1,10
1508955721,0,9
1508956321,1,0
1508956922,1,2
1508957522,0,9
1508958722,5,0
1508959322,20,17
1508959921,1,1
1508959981,1,5
1508960522,2,0
1508961121,1,0
1508961721,2,4
1508962322,2,0
1508962922,3,3
1508963774,3,0
1508965321,2,1
1508966522,4,1
1508967123,11,5
1508967181,1,8
1508967722,7,0
1508968322,0,1
1508968922,5,5
1508970121,3,4
1508970781,21,0
1508971322,4,2
1508972521,18,1
1508973722,1,4
1508974922,0,7
1508976121,1,1
1508977322,0,8
1508977922,1,0
1508978521,0,3
1508979122,1,0
1508980321,8,15
1508980922,0,1
1508982123,16,5
1508982722,5,0
