DateTime,Entries,UniqueIPs
1508743685,3939,4004
1508744174,3938,4003
1508744645,3939,4004
1508745131,3937,4002
1508745617,3938,4003
1508746087,3939,4004
1508749449,3940,4005
1508749927,3938,4003
1508750405,3940,4005
1508753769,3936,4001
1508754244,3940,4005
1508757380,3939,4004
1508757845,3940,4005
1508759286,3939,4004
1508760729,3940,4005
1508762885,3939,4004
1508763371,3940,4005
1508764804,3939,4004
1508765290,3940,4005
1508765764,3939,4004
1508766249,3938,4003
1508766724,3940,4005
1508768167,3939,4004
1508768645,3940,4005
1508769133,3938,4003
1508769605,3940,4005
1508770087,3939,4004
1508770565,3940,4005
1508771050,3938,4003
1508771524,3937,4002
1508772011,3937,4002
1508772969,3935,4000
1508773444,3937,4002
1508773925,3936,4001
1508774412,3938,4003
1508775365,3937,4002
1508775845,3938,4003
1508776809,3937,4002
1508777284,3937,4002
1508777765,3938,4003
1508780168,3936,4001
1508780648,3938,4003
1508781126,3935,4000
1508781616,3937,4002
1508782570,3936,4001
1508783046,3936,4001
1508783556,3937,4002
1508784005,3936,4001
1508784492,3937,4002
1508784965,3938,4003
1508785448,3937,4002
1508785924,3937,4002
1508786411,3937,4002
1508786885,3938,4003
1508787365,3937,4002
1508787852,3938,4003
1508789764,3937,4002
1508790493,3938,4003
1508791207,3937,4002
1508791688,3937,4002
1508792167,3938,4003
1508794861,3936,4001
1508795525,3938,4003
1508796021,3940,4005
1508796488,3938,4003
1508796966,3939,4004
1508797450,3940,4005
1508800093,3938,4003
1508800567,3940,4005
1508802485,3939,4004
1508803214,3940,4005
1508803930,3937,4002
1508804649,3938,4003
1508806091,3937,4002
1508806567,3938,4003
1508807771,3942,4007
1508808249,3941,4006
1508808727,3942,4007
1508809685,3941,4006
1508810168,3942,4007
1508810886,3941,4006
1508811369,3939,4004
1508811844,3940,4005
1508812806,3939,4004
1508813284,3940,4005
1508814725,3938,4003
1508815209,3940,4005
1508815686,3938,4003
1508816173,3935,4000
1508816645,3935,4000
1508817128,3935,4000
1508817617,3936,4001
1508818565,3935,3999
1508819047,3936,4001
1508820008,3937,4002
1508820488,3937,4002
1508820965,3938,4003
1508821447,3937,4002
1508821928,3937,4002
1508822409,3938,4003
1508824565,3937,4002
1508825046,3938,4003
1508826971,3937,4002
1508827207,3938,4003
1508827445,3939,4004
1508829611,3939,4004
1508830088,3938,4003
1508830574,3938,4003
1508831047,3939,4004
1508831148,3940,4005
1508832031,3938,4003
1508832486,3940,4005
1508833445,3938,4003
1508833931,3942,4007
1508835365,3941,4006
1508835852,3941,4006
1508836324,3942,4007
1508836807,3940,4005
1508837284,3938,4003
1508837766,3940,4005
1508839211,3939,4004
1508839700,3940,4005
1508840646,3938,4003
1508841128,3937,4002
1508841609,3938,4003
1508844008,3937,4002
1508844484,3941,4006
1508844964,3940,4005
1508845457,3941,4006
1508845925,3940,4005
1508846418,3941,4006
1508846885,3941,4006
1508847367,3941,4006
1508847845,3942,4007
1508848330,3941,4006
1508848804,3942,4007
1508850488,3940,4005
1508850968,3942,4007
1508851458,3941,4006
1508851925,3939,4004
1508852411,3941,4006
1508852885,3940,4005
1508853851,3942,4007
1508855287,3941,4006
1508855459,3943,4008
1508855766,3944,4009
1508857699,3945,4010
1508858168,3944,4009
1508858644,3944,4009
1508859127,3944,4009
1508859605,3945,4010
1508860089,3944,4009
1508860565,3945,4010
1508861048,3944,4009
1508862251,3943,4008
1508863444,3945,4010
1508863928,3943,4008
1508864415,3945,4010
1508867765,3943,4008
1508868249,3942,4007
1508868729,3943,4008
1508871846,3942,4007
1508873044,3943,4008
1508874004,3942,4007
1508874494,3941,4006
1508874971,3943,4008
1508875701,3944,4009
1508876886,3943,4008
1508880728,3943,4007
1508881205,3942,4007
1508881686,3943,4008
1508882169,3942,4007
1508882650,3941,4006
1508883125,3943,4008
1508884087,3942,4007
1508884806,3943,4008
1508886499,3945,4010
1508886968,3943,4008
1508887446,3945,4010
1508888887,3943,4008
1508889366,3945,4010
1508891290,3944,4009
1508891766,3947,4012
1508892724,3946,4011
1508893215,3947,4012
1508895131,3946,4011
1508895607,3947,4012
1508897050,3946,4011
1508897529,3947,4012
1508898488,3946,4011
1508898966,3946,4011
1508899449,3947,4012
1508901848,3946,4011
1508902329,3945,4010
1508902804,3945,4010
1508905452,3944,4009
1508905930,3944,4009
1508906405,3943,4008
1508906885,3944,4009
1508907368,3945,4010
1508909768,3946,4011
1508912644,3945,4010
1508913133,3945,4010
1508913605,3946,4011
1508914580,3948,4013
1508915048,3949,4014
1508915525,3948,4013
1508919385,3945,4010
1508919844,3945,4010
1508920329,3946,4011
1508921289,3947,4012
1508922251,3948,4013
1508923685,3950,4015
1508924168,3949,4014
1508924649,3950,4015
1508925127,3947,4012
1508925614,3948,4013
1508927045,3946,4011
1508927524,3948,4013
1508928489,3946,4011
1508931364,3945,4010
1508931849,3946,4011
1508932809,3945,4010
1508933285,3948,4013
1508933769,3950,4015
1508934015,3948,4017
1508938091,3947,4016
1508938565,3948,4017
1508940021,3947,4016
1508940486,3948,4017
1508941445,3947,4016
1508941926,3948,4017
1508942884,3947,4016
1508943365,3946,4015
1508943852,3946,4015
1508944328,3947,4016
1508944805,3946,4015
1508945286,3947,4016
1508945766,3946,4015
1508946250,3947,4016
1508948405,3946,4015
1508948895,3948,4017
1508949606,3949,4018
1508950324,3948,4017
1508950811,3949,4018
1508953205,3947,4016
1508954646,3946,4015
1508955125,3947,4016
1508956086,3946,4015
1508956565,3947,4016
1508958012,3944,4013
1508958254,3945,4014
1508958485,3946,4015
1508959930,3945,4014
1508960404,3946,4015
1508960885,3948,4017
1508961367,3949,4018
1508961850,3948,4017
1508962328,3949,4018
1508965218,3948,4017
1508965687,3949,4018
1508966164,3950,4019
1508966645,3951,4020
1508967133,3950,4019
1508967608,3951,4020
1508970487,3950,4019
1508970969,3950,4019
1508972410,3949,4018
1508972888,3950,4019
1508973845,3950,4019
1508974329,3950,4019
1508975289,3950,4019
1508975766,3950,4019
1508976246,3950,4019
1508976730,3951,4020
1508977925,3951,4020
1508980815,3949,4018
1508981286,3950,4019
1508982247,3952,4021
1508982728,3950,4019
1508983450,3951,4020
1508984886,3950,4019
1508985368,3951,4020
1508986326,3947,4016
1508986808,3949,4018
1508987765,3948,4017
1508988245,3949,4018
1508990166,3946,4015
1508990646,3946,4015
1508991124,3947,4016
1508995447,3946,4015
1508995928,3947,4016
1508996885,3946,4015
1508997365,3945,4014
1508997849,3947,4016
1508998808,3946,4015
1508999285,3947,4016
1508999765,3946,4015
1509000251,3947,4016
1509001214,3945,4014
1509001686,3947,4016
1509002644,3946,4015
1509003129,3947,4016
1509004087,3948,4017
1509004565,3947,4016
1509005047,3949,4018
1509006008,3948,4017
1509006488,3948,4017
1509006971,3949,4018
1509007931,3951,4020
1509009367,3950,4019
1509009849,3950,4019
1509010328,3951,4020
1509011767,3950,4019
1509012246,3951,4020
1509013205,3947,4016
1509013692,3948,4017
1509014165,3949,4018
1509016565,3948,4017
1509017045,3949,4018
1509017532,3948,4017
1509018004,3949,4018
1509018965,3948,4017
1509019453,3949,4018
1509020408,3948,4017
1509020885,3949,4018
1509022329,3951,4020
1509027608,3949,4018
1509028088,3947,4016
1509029526,3947,4016
1509030012,3948,4017
1509030487,3949,4018
1509031446,3948,4017
1509031931,3949,4018
1509032649,3950,4019
1509034085,3952,4021
1509035526,3950,4019
1509037214,3949,4018
1509037686,3950,4019
1509038168,3949,4018
1509038890,3950,4019
1509040825,3949,4018
1509041287,3950,4019
1509042732,3948,4017
1509046568,3950,4019
1509047524,3945,4014
1509048016,3946,4015
1509049925,3944,4013
1509050408,3946,4015
1509050885,3944,4013
1509052806,3943,4012
1509053287,3944,4013
1509053765,3942,4011
1509054250,3944,4013
1509054731,3943,4012
1509055447,3944,4013
1509056653,3943,4012
1509057128,3943,4012
1509057605,3944,4013
1509059048,3943,4012
1509061214,3944,4013
1509063611,3943,4012
1509064330,3945,4014
1509064805,3946,4015
1509066505,3945,4014
1509067452,3945,4014
1509068412,3943,4012
1509069625,3942,4011
1509070086,3943,4012
1509071044,3945,4014
1509072488,3944,4013
1509072966,3943,4012
1509073450,3945,4014
1509074408,3944,4013
1509074889,3943,4011
1509075364,3945,4014
1509075850,3947,4016
1509077050,3946,4015
1509077528,3947,4016
1509078488,3946,4015
1509078966,3947,4016
1509081141,3945,4014
1509082087,3944,4012
1509082564,3944,4013
1509083048,3945,4014
1509085447,3944,4013
1509085930,3945,4014
1509087368,3944,4013
1509087850,3945,4014
1509089794,3946,4015
1509090245,3947,4016
1509090724,3945,4014
1509091217,3946,4014
1509091930,3946,4015
1509092884,3945,4014
1509093605,3946,4015
1509095050,3945,4014
1509095773,3946,4015
1509096725,3945,4014
1509097449,3946,4015
1509098420,3945,4014
1509098889,3946,4015
1509099368,3944,4013
1509099845,3943,4012
1509100331,3946,4015
1509102247,3947,4016
1509103208,3946,4015
1509103688,3951,4020
1509104760,3952,4021
1509105124,3951,4020
1509105614,3950,4019
1509106097,3952,4021
1509107768,3950,4019
1509109209,3947,4016
1509109698,3950,4019
1509110657,3949,4018
1509111128,3949,4018
1509111604,3950,4019
1509112571,3948,4016
1509113046,3949,4018
1509113529,3950,4019
1509114004,3949,4018
1509114490,3950,4019
1509115550,3951,4020
1509117845,3950,4019
1509118332,3952,4021
1509118805,3953,4022
1509119766,3952,4021
1509120251,3953,4022
1509121688,3952,4021
1509122169,3953,4022
1509123128,3953,4022
1509125049,3952,4021
1509125525,3953,4022
1509128405,3953,4022
1509132245,3952,4021
1509132730,3952,4021
1509133205,3953,4022
1509133705,3954,4023
1509134418,3958,4027
1509136327,3955,4024
1509136806,3956,4025
1509138255,3955,4024
1509138725,3956,4025
1509139208,3955,4024
1509139686,3956,4025
1509140645,3958,4027
1509141624,3957,4026
1509142097,3958,4027
1509143769,3957,4026
1509144247,3956,4025
1509145928,3955,4024
1509146651,3955,4024
1509147125,3955,4024
1509147607,3956,4025
1509148085,3955,4024
1509148567,3956,4025
1509149528,3955,4024
1509150248,3956,4025
1509151205,3955,4024
1509151688,3956,4025
1509152648,3955,4024
1509153125,3957,4026
1509154089,3956,4025
1509155049,3955,4024
1509156018,3956,4025
1509156497,3954,4023
1509156965,3956,4025
1509158885,3955,4024
1509159849,3956,4025
1509160326,3955,4024
1509160805,3956,4025
1509161286,3955,4024
1509161766,3955,4024
1509162249,3956,4025
1509162724,3955,4024
1509163217,3954,4023
1509163688,3956,4025
1509164409,3955,4024
1509166090,3953,4022
1509166566,3954,4023
1509167048,3956,4025
1509170896,3958,4027
1509171849,3957,4026
1509172325,3957,4026
1509172806,3958,4027
1509173769,3957,4026
1509174248,3958,4027
1509176648,3957,4026
1509177126,3958,4027
1509179531,3956,4025
1509180004,3957,4026
1509180488,3958,4027
1509182408,3956,4025
1509182892,3957,4026
1509183364,3958,4027
1509184830,3955,4024
1509185288,3958,4027
1509185765,3957,4026
1509186245,3957,4026
