DateTime,Entries,UniqueIPs
1508209471,2963,2963
1508211400,2958,2958
1508213323,2960,2960
1508215237,2966,2966
1508217160,3370,3370
1508219089,3380,3380
1508220985,3379,3379
1508222940,3394,3394
1508224832,3401,3401
1508226760,3410,3410
1508229651,3423,3423
1508231542,3433,3433
1508233464,3443,3443
1508235378,3439,3439
1508237315,3454,3454
1508239226,3465,3465
1508241150,3470,3470
1508243057,3479,3479
1508244977,3467,3467
1508246900,3478,3478
1508248842,3481,3481
1508250755,3474,3474
1508252682,3490,3490
1508254589,3490,3490
1508256509,1862,1862
1508258417,1863,1863
1508260345,2585,2585
1508262258,2596,2596
1508264194,2654,2654
1508266112,2726,2726
1508268075,2805,2805
1508269963,2907,2907
1508271883,2975,2975
1508273775,3001,3001
1508275698,3018,3018
1508277625,2999,2999
1508279685,2980,2980
1508281695,2964,2964
1508283628,2928,2928
1508285786,2914,2914
1508287691,2913,2913
1508289634,2931,2931
1508291530,2942,2942
1508293457,2956,2956
1508295385,2951,2951
1508297307,2944,2944
1508299219,2932,2932
1508301158,2927,2927
1508303062,3562,3562
1508304989,3565,3565
1508306893,3571,3571
1508308823,3580,3580
1508311008,3559,3559
1508312905,3555,3555
1508314828,3553,3553
1508316748,3551,3551
1508318671,3553,3553
1508320606,3561,3561
1508322502,3545,3545
1508324433,3536,3536
1508326362,3514,3514
1508328273,3504,3504
1508330301,3503,3503
1508332115,3495,3495
1508334026,3479,3479
1508336197,3476,3476
1508338096,3472,3472
1508340031,3454,3454
1508341970,3443,3443
1508343869,1768,1768
1508345774,1754,1754
1508347695,2549,2549
1508349644,2549,2549
1508351551,2540,2540
1508353467,2524,2524
1508355387,2533,2533
1508357306,2549,2549
1508359212,2568,2568
1508361141,2569,2569
1508363069,2545,2545
1508365350,2524,2524
1508368608,2486,2486
1508370505,2490,2490
1508372429,2521,2521
1508374332,2542,2542
1508376273,2544,2544
1508378433,2611,2611
1508380344,2647,2647
1508382259,2670,2670
1508384172,2690,2690
1508386093,2704,2704
1508388022,2687,2687
1508389953,3268,3268
1508391856,3257,3257
1508393782,3268,3268
1508395704,3264,3264
1508397610,3256,3256
1508399550,3260,3260
1508401461,3253,3253
1508403382,3247,3247
1508405313,3245,3245
1508407220,3241,3241
1508409139,3231,3231
1508411064,3219,3219
1508412973,3213,3213
1508414903,3207,3207
1508416822,3197,3197
1508418738,3182,3182
1508420657,3171,3171
1508422586,3183,3183
1508424501,3188,3188
1508426427,3177,3177
1508428366,3166,3166
1508430252,1563,1563
1508432187,1567,1567
1508434091,2083,2083
1508436030,2105,2105
1508437949,2129,2129
1508439869,2151,2151
1508441771,2158,2158
1508443694,2164,2164
1508445625,2167,2167
1508447551,2171,2171
1508450484,2154,2154
1508452452,2147,2147
1508454268,2134,2134
1508456173,2123,2123
1508458328,2120,2120
1508460255,2117,2117
1508462176,2110,2110
1508464097,2108,2108
1508466268,2110,2110
1508468168,2098,2098
1508470089,2100,2100
1508472028,2082,2082
1508473933,2074,2074
1508475857,2550,2550
1508478025,2554,2554
1508479950,2545,2545
1508481867,2552,2552
1508483795,2547,2547
1508485705,2553,2553
1508487958,2577,2577
1508489766,2612,2612
1508491685,2672,2672
1508493873,2754,2754
1508495769,2780,2780
1508497713,2788,2788
1508499609,2787,2787
1508501538,2793,2793
