DateTime,Entries,UniqueIPs
1508932809,5221,5221
1508933285,5221,5221
1508933769,5221,5221
1508934246,5224,5224
1508934727,5223,5223
1508935207,5233,5233
1508935689,5230,5230
1508936169,5219,5219
1508936649,5221,5221
1508937127,5230,5230
1508937604,5221,5221
1508938091,5219,5219
1508938565,5230,5230
1508939047,5224,5224
1508939525,5221,5221
1508940021,5221,5221
1508940486,5223,5223
1508940965,5223,5223
1508941445,5220,5220
1508941926,5221,5221
1508942405,5223,5223
1508942884,5219,5219
1508943365,5223,5223
1508943852,5222,5222
1508944328,5223,5223
1508944805,5224,5224
1508945286,5222,5222
1508945766,5219,5219
1508946250,5224,5224
1508947935,5232,5232
1508948405,5221,5221
1508948887,5221,5221
1508949606,5219,5219
1508950324,5220,5220
1508950811,5232,5232
1508951285,5225,5225
1508951771,5222,5222
1508952246,5219,5219
1508952728,5231,5231
1508953205,5221,5221
1508953688,5222,5222
1508954164,5221,5221
1508954646,5222,5222
1508955125,5223,5223
1508955612,5224,5224
1508956086,5219,5219
1508956565,5219,5219
1508957044,5222,5222
1508957527,5218,5218
1508958012,5233,5233
1508958485,5221,5221
1508958968,5222,5222
1508959449,5224,5224
1508959930,5219,5219
1508960404,5221,5221
1508960885,5220,5220
1508961367,5223,5223
1508961850,5221,5221
1508962328,5220,5220
1508962805,5233,5233
1508963302,5222,5222
1508963766,5216,5216
1508964248,5235,5235
1508964724,5225,5225
1508965218,5219,5219
1508965687,5224,5224
1508966164,5219,5219
1508966645,5223,5223
1508967133,5214,5214
1508967608,5222,5222
1508968088,5222,5222
1508968565,5221,5221
1508969047,5219,5219
1508969529,5235,5235
1508970005,5225,5225
1508970487,5232,5232
1508970969,5218,5218
1508971449,5224,5224
1508971924,5231,5231
1508972410,5222,5222
1508972888,5220,5220
1508973370,5225,5225
1508973845,5223,5223
1508974329,5224,5224
1508974808,5223,5223
1508975289,5220,5220
1508975766,5217,5217
1508976246,5222,5222
1508976730,5234,5234
1508977446,5223,5223
1508977925,5217,5217
1508978405,5225,5225
1508978886,5223,5223
1508980815,5214,5214
1508981286,5221,5221
1508981765,5222,5222
1508982247,5221,5221
1508982728,5217,5217
1508983450,5209,5209
1508983924,5221,5221
1508984409,5216,5216
1508984886,5213,5213
1508985368,5216,5216
1508985845,5218,5218
1508986326,5211,5211
1508986808,5214,5214
1508987299,5214,5214
1508987765,5223,5223
1508988245,5215,5215
1508988724,5215,5215
1508989207,5224,5224
1508989690,5217,5217
1508990166,5217,5217
1508990646,5210,5210
1508991124,5218,5218
1508991612,5218,5218
1508992086,5212,5212
1508992806,5215,5215
1508993288,5214,5214
1508993765,5217,5217
1508994491,5217,5217
1508994967,5215,5215
1508995447,5225,5225
1508995928,5223,5223
1508996409,5228,5228
1508996885,5214,5214
1508997365,5214,5214
1508997849,5212,5212
1508998328,5216,5216
1508998808,5216,5216
1508999285,5215,5215
1508999765,5225,5225
1509000251,5217,5217
1509000724,5213,5213
1509001214,5212,5212
1509001686,5220,5220
1509002172,5217,5217
1509002644,5220,5220
1509003129,5214,5214
1509003605,5216,5216
1509004087,5213,5213
1509004565,5211,5211
1509005047,5215,5215
1509005527,5227,5227
1509006008,5220,5220
1509006488,5209,5209
1509006971,5207,5207
1509007448,5216,5216
1509007927,5215,5215
1509008410,5211,5211
1509008886,5214,5214
1509009367,5212,5212
1509009849,5214,5214
1509010328,5213,5213
1509010806,5213,5213
1509011288,5210,5210
1509011767,5214,5214
1509012246,5212,5212
1509012724,5217,5217
1509013205,5213,5213
1509013692,5223,5223
1509014165,5214,5214
1509014647,5226,5226
1509015124,5215,5215
1509015621,5215,5215
1509016086,5213,5213
1509016565,5210,5210
1509017045,5215,5215
1509017532,5214,5214
1509018004,5216,5216
1509018484,5211,5211
1509018965,5217,5217
1509019453,5224,5224
1509019924,5211,5211
1509020408,5214,5214
1509020885,5219,5219
1509021373,5214,5214
1509021846,5217,5217
1509022329,5215,5215
1509022812,5213,5213
1509023287,5212,5212
1509023768,5224,5224
1509024245,5212,5212
1509024728,5204,5204
1509025208,5204,5204
1509025687,5206,5206
1509026165,5205,5205
1509026647,5207,5207
1509027127,5205,5205
1509027608,5203,5203
1509028088,5205,5205
1509028565,5226,5226
1509029052,5212,5212
1509029526,5212,5212
1509030012,5215,5215
1509030487,5222,5222
1509030968,5224,5224
1509031446,5215,5215
1509031931,5210,5210
1509032649,5217,5217
1509033127,5220,5220
1509033614,5222,5222
1509034085,5215,5215
1509034565,5216,5216
1509035050,5219,5219
1509035526,5223,5223
1509036247,5225,5225
1509036727,5223,5223
1509037211,5224,5224
1509037686,5217,5217
1509038168,5219,5219
1509038890,5219,5219
1509039364,5221,5221
1509039849,5225,5225
1509040324,5224,5224
1509040825,5224,5224
1509041287,5215,5215
1509041769,5226,5226
1509042244,5217,5217
1509042732,5214,5214
1509043205,5216,5216
1509043688,5214,5214
1509044165,5225,5225
1509044655,5213,5213
1509045128,5214,5214
1509045605,5219,5219
1509046088,5213,5213
1509046568,5216,5216
1509047048,5216,5216
1509047524,5221,5221
1509048016,5213,5213
1509048491,5212,5212
1509048964,5216,5216
1509049445,5213,5213
1509049925,5215,5215
1509050408,5214,5214
1509050885,5216,5216
1509051366,5216,5216
1509051851,5224,5224
1509052331,5212,5212
1509052806,5213,5213
1509053287,5213,5213
1509053765,5224,5224
1509054250,5212,5212
1509054731,5215,5215
1509055447,5215,5215
1509055928,5217,5217
1509056653,5215,5215
1509057128,5210,5210
1509057605,5216,5216
1509058090,5216,5216
1509058568,5207,5207
1509059048,5211,5211
1509061214,5216,5216
1509061929,5214,5214
1509062899,5213,5213
1509063611,5212,5212
1509064330,5216,5216
1509064805,5213,5213
1509065532,5213,5213
1509066498,5214,5214
1509067452,5205,5205
1509068412,5208,5208
1509068886,5216,5216
1509069625,5213,5213
1509070086,5218,5218
1509070570,5219,5219
1509071044,5218,5218
1509071772,5219,5219
1509072488,5216,5216
1509072966,5218,5218
1509073450,5217,5217
1509073926,5218,5218
1509074408,5208,5208
1509074889,5216,5216
1509075364,5226,5226
1509075850,5216,5216
1509076325,5221,5221
1509077050,5219,5219
1509077528,5215,5215
1509078005,5217,5217
1509078488,5211,5211
1509078966,5218,5218
1509079446,5221,5221
1509080169,5216,5216
1509080648,5225,5225
1509081127,5219,5219
1509081611,5221,5221
1509082087,5213,5213
1509082564,5228,5228
1509083048,5221,5221
1509083526,5213,5213
1509084013,5213,5213
1509084489,5221,5221
1509084972,5217,5217
1509085447,5219,5219
1509085930,5220,5220
1509086405,5219,5219
1509086888,5218,5218
1509087368,5216,5216
1509087850,5218,5218
1509088326,5217,5217
1509088811,5218,5218
1509089290,5217,5217
1509089769,5207,5207
1509090245,5220,5220
1509090724,5214,5214
1509091217,5215,5215
1509091930,5219,5219
1509092407,5216,5216
1509092884,5229,5229
1509093605,5218,5218
1509094085,5221,5221
1509094566,5218,5218
1509095050,5219,5219
1509095766,5215,5215
1509096244,5218,5218
1509096725,5210,5210
1509097449,5217,5217
1509097925,5216,5216
1509098420,5222,5222
1509098889,5215,5215
1509099368,5220,5220
1509099845,5217,5217
1509100331,5218,5218
1509100808,5215,5215
1509101284,5218,5218
