DateTime,AddedIPs,RemovedIPs
1508799121,1,4
1508799723,15,13
1508800921,6,4
1508801522,2,2
1508802121,1,0
1508803321,4,6
1508803922,0,1
1508804523,1,26
1508805722,2,10
1508806322,12,0
1508806922,4,17
1508807522,8,0
1508808122,6,5
1508808721,9,0
1508809322,5,1
1508809921,0,10
1508810522,5,6
1508811121,5,2
1508811721,3,3
1508812921,8,20
1508813522,14,3
1508814122,6,8
1508814722,24,5
1508815321,6,3
1508816521,3,8
1508817721,5,0
1508818322,10,5
1508818922,1,0
1508819521,6,5
1508821321,3,5
1508822522,1,1
1508823122,5,8
1508823722,1,0
1508824921,5,17
1508825521,8,0
1508826121,1,4
1508826722,7,6
1508827322,6,0
1508827922,1,0
1508829121,0,5
1508829722,1,0
1508830322,4,3
1508830921,1,6
1508831522,2,0
1508832122,6,1
1508832721,1,2
1508833322,1,0
1508833922,1,7
1508834523,2,0
1508835722,1,8
1508836922,3,17
1508838122,0,13
1508838721,3,0
1508839321,3,20
1508840521,0,17
1508841121,2,0
1508841722,2,0
1508842922,3,2
1508843522,6,0
1508844122,1,30
1508845322,3,14
1508845922,1,0
1508846521,3,0
1508848321,20,2
1508848921,1,3
1508850121,21,9
1508851322,1,7
1508851921,4,0
1508853122,3,2
1508853722,4,1
1508854322,7,1
1508854922,4,0
1508855522,3,2
1508856121,5,11
1508856722,1,2
1508857322,5,0
1508857922,13,0
1508858521,0,12
1508859122,5,0
1508859721,4,0
1508860922,3,18
1508862121,8,1
1508862721,4,0
1508863322,1,0
1508865122,4,5
1508865722,3,1
1508866922,4,18
1508867522,12,0
1508868121,13,5
1508868721,1,4
1508870522,6,3
1508871121,6,0
1508871722,5,0
1508872322,6,2
1508872921,13,2
1508873521,1,0
1508874121,23,3
1508874722,7,0
1508875321,5,6
1508875922,4,0
1508876522,4,0
1508877122,7,10
1508877722,3,0
1508878922,17,8
1508879522,18,15
1508880122,17,16
1508880721,3,2
1508881322,5,0
1508881922,19,2
1508882522,17,0
1508883722,10,0
1508884322,4,0
1508884921,11,1
1508885521,5,0
1508886122,6,8
1508886722,11,0
1508887321,5,24
1508887921,8,7
1508888522,7,3
1508889122,4,0
1508889722,2,2
1508890323,13,0
1508890922,3,0
1508892122,8,0
1508892721,3,1
1508893323,2,4
1508893922,1,0
1508894521,4,0
1508895121,3,10
1508895722,5,0
1508896322,4,7
1508896922,4,2
1508897522,2,3
1508898122,1,33
1508898722,5,0
1508899322,9,2
1508899922,6,3
1508900522,2,0
1508901122,2,10
1508901721,1,5
1508902322,1,0
1508902922,3,0
1508903522,4,12
1508904122,3,0
1508904721,2,18
1508905321,1,3
1508906522,6,9
1508907721,10,7
1508908322,1,0
1508908922,2,0
1508909521,2,10
1508910121,2,6
1508910722,3,0
1508911321,1,10
1508911921,2,4
1508912522,4,0
1508913722,2,2
1508914922,2,2
1508915522,2,0
1508916122,4,1
1508916722,1,6
1508917323,7,0
1508918522,2,0
1508919122,2,2
1508919721,2,0
1508920322,2,1
1508920921,2,2
1508921521,2,0
1508922122,1,0
1508923321,1,0
1508923922,0,13
1508924522,6,0
1508925721,2,9
1508926322,4,1
1508926921,5,0
1508928121,4,8
1508928722,3,2
1508929322,2,2
1508930522,3,19
1508931121,10,3
1508931722,7,0
1508932922,1,4
1508933521,1,0
1508934122,3,2
1508934722,4,0
1508935321,10,24
1508935922,2,7
1508936521,3,0
1508937721,0,2
1508938322,1,13
1508938921,8,1
1508940122,2,31
1508940722,1,0
1508941322,0,8
1508942522,12,2
1508943122,2,4
1508943721,1,0
1508944922,1,29
1508946121,15,10
1508947921,2,4
1508948522,3,3
1508949121,2,4
1508949722,6,0
1508950321,3,0
1508951522,2,0
1508952122,0,4
1508953321,6,0
1508953921,1,0
1508954522,1,3
1508955121,1,1
1508955721,0,29
1508956321,4,0
1508956922,1,0
1508957522,6,12
1508958121,1,0
1508958722,8,3
1508959322,3,7
1508959921,1,1
1508960522,3,0
1508961121,2,26
1508961721,1,3
1508962322,0,3
1508962922,1,1
1508963522,2,0
1508964122,2,1
1508965321,3,5
1508966522,0,6
1508967123,1,28
1508967722,5,1
1508968322,1,0
1508968922,1,1
1508970121,3,1
1508970721,0,8
1508971322,12,1
1508972521,1,3
1508973121,1,9
1508973722,2,7
1508974922,0,7
1508976121,0,2
1508977322,1,7
1508977922,1,4
1508978521,1,3
1508979122,5,0
1508980321,0,4
1508980922,0,1
1508982123,6,9
1508982722,6,5
1508983322,2,0
1508984522,2,14
1508985121,5,0
1508985721,1,21
1508986922,3,21
1508987522,1,0
1508988121,2,3
1508989321,0,25
1508989922,2,0
1508990522,3,1
1508991722,1,22
1508992321,0,5
1508992921,2,8
1508993521,2,0
1508994121,2,15
1508994722,1,0
1508995321,1,3
1508995921,9,0
1508996522,0,6
1508997721,4,15
1508998322,1,5
1508998922,2,0
1509000121,0,29
1509000722,2,0
1509001321,1,0
1509001921,0,11
1509002522,0,1
1509003721,2,5
1509004322,1,0
1509004922,2,14
1509006121,0,3
1509007321,2,8
1509008521,27,22
1509009121,1,1
1509009721,17,11
1509010922,2,6
1509012121,2,4
1509012722,6,1
1509013322,3,41
1509013921,11,0
1509014521,17,13
1509015122,2,1
1509015722,8,0
1509016321,3,5
1509016921,3,5
1509017522,10,2
1509018121,2,0
1509019321,4,5
1509020521,6,1
1509021121,2,5
1509021722,1,0
1509022322,6,44
1509022921,14,23
1509024121,14,4
1509024721,12,0
1509025322,7,9
1509025921,9,7
1509027121,4,5
1509027722,5,0
1509028922,4,5
1509030123,4,1
1509031322,0,10
1509032522,5,0
1509033721,9,3
1509034922,3,12
1509036122,9,10
1509037322,5,1
1509037922,11,1
1509038521,4,3
1509039122,6,0
1509039722,7,0
1509040922,9,17
1509041522,7,11
1509042121,4,0
1509042721,0,4
1509043322,3,0
1509043922,15,3
1509044522,1,0
1509045721,5,0
1509046321,3,4
1509046922,9,3
1509048122,7,0
1509049322,12,3
1509049922,4,34
1509050522,5,3
1509051721,12,0
1509052321,6,4
1509052922,2,0
1509054122,7,0
1509055321,4,0
1509055922,4,2
1509056521,2,1
1509057121,9,0
1509057721,2,5
1509058321,7,0
1509058921,3,1
1509060722,4,6
1509061321,3,2
1509061921,2,0
1509062522,5,0
1509064322,2,3
1509064922,1,7
1509065522,2,0
1509066122,1,0
1509067322,3,0
1509067922,1,1
1509068521,2,5
1509069121,1,1
1509069721,3,0
1509070322,4,4
1509070922,2,0
1509071521,5,7
1509072122,0,1
1509072722,1,0
1509073921,2,4
1509074521,1,3
1509075722,9,0
1509076922,3,11
1509078122,2,0
1509078722,2,15
1509079321,9,0
1509079923,0,12
1509080521,4,0
1509081721,1,6
1509082922,3,2
1509083521,2,0
1509084122,2,0
1509084722,1,9
1509085322,0,1
1509085921,2,0
1509086522,1,0
1509087121,4,0
1509087722,2,15
1509088322,2,0
1509088922,2,0
1509090722,1,4
1509091322,1,0
1509091921,1,0
1509092522,1,1
1509093122,0,3
1509093722,1,0
1509094921,1,2
1509095521,1,4
1509096722,7,1
1509097322,0,2
1509098521,1,0
1509099121,1,4
1509100322,8,1
1509100922,4,7
1509102122,1,2
1509102722,2,17
1509103322,1,1
1509104521,1,3
1509105122,1,0
1509105722,10,0
1509106322,4,2
1509106921,5,5
1509108121,4,8
1509108721,0,2
1509109322,16,19
1509110522,8,6
1509111722,11,13
1509112922,5,2
1509113522,8,2
1509114121,8,0
1509114721,3,2
1509115321,3,0
1509115921,2,13
1509116522,4,0
1509117722,2,2
1509118921,6,0
