DateTime,Entries,UniqueIPs
1508751721,4802,6895
1508752922,4809,6902
1508753521,4811,6904
1508755922,4817,6893
1508757122,4828,6890
1508757722,4839,6878
1508758922,4844,6880
1508760121,4843,6878
1508761321,4842,6875
1508761921,4851,6873
1508762522,4855,6868
1508763121,4859,6860
1508763722,4868,6852
1508764922,4873,6847
1508766122,4879,6821
1508767322,4884,6822
1508767923,4890,6815
1508768521,4898,6810
1508770322,4902,6804
1508770921,4909,6793
1508772121,4912,6790
1508773322,4911,6787
1508774521,4918,6779
1508775721,4913,6771
1508776921,4929,6760
1508777522,4933,6758
1508778122,4935,6747
1508778721,4930,6738
1508779321,4931,6739
1508779922,4932,6737
1508780522,4938,6727
1508781121,4940,6729
1508781722,4944,6735
1508782322,4948,6737
1508782921,4957,6722
1508783522,4960,6716
1508784121,4964,6720
1508784722,4965,6715
1508785322,4970,6696
1508785921,4971,6697
1508786521,4973,6699
1508787721,4983,6661
1508788321,4990,6651
1508788922,5006,6640
1508790121,5019,6624
1508791322,5022,6598
1508791922,5025,6601
1508792522,5030,6590
1508793122,5036,6583
1508793722,5039,6586
1508794321,5042,6578
1508794922,5046,6567
1508796121,5059,6531
1508797321,5070,6503
1508797921,5074,6495
1508798522,5076,6497
1508799121,5082,6480
1508799723,5085,6478
1508800921,5075,6455
1508801522,5080,6444
1508802121,5085,6431
1508803321,5093,6397
1508803922,5087,6387
1508804523,5086,6351
1508805722,5083,6340
1508806322,5086,6343
1508806922,5083,6329
1508807522,5091,6313
1508808122,5093,6315
1508808721,5094,6303
1508809322,5099,6308
1508809921,5101,6301
1508810522,5092,6232
1508811121,5090,6227
1508811721,5091,6228
1508812921,5093,6230
1508813522,5096,6234
1508814122,5100,6238
1508814722,5109,6245
1508815321,5096,6159
1508816521,5098,6151
1508817721,5098,6149
1508818322,5099,6150
1508819521,5100,6150
1508821321,5101,6140
1508822522,5097,6128
1508823122,5097,6125
1508823722,5098,6126
1508824921,5099,6127
1508825521,5101,6116
1508826121,5094,6046
1508826722,5085,6029
1508827322,5086,6030
1508827922,5086,6030
1508829121,5083,6023
1508829722,5083,6021
1508830322,5084,6022
1508830921,5088,6004
