DateTime,AddedIPs,RemovedIPs
1508814122,80,80
1508814722,80,80
1508815321,80,80
1508816521,76,76
1508817721,80,80
1508818322,80,80
1508818922,80,80
1508819521,71,71
1508820122,70,70
1508821321,61,61
1508822522,80,80
1508823122,80,80
1508823722,80,80
1508824921,79,79
1508825521,80,80
1508826121,80,80
1508826722,78,78
1508827322,79,79
1508827922,79,79
1508829121,26,26
1508829722,79,79
1508830322,80,80
1508830921,72,72
1508831522,75,75
1508832122,37,37
1508832721,80,80
1508833322,80,80
1508833922,79,79
1508834523,80,80
1508835722,29,29
1508836922,80,80
1508838122,80,80
1508838721,79,79
1508839321,80,80
1508840521,77,77
1508841121,76,76
1508841722,80,80
1508842322,80,80
1508842922,79,79
1508843522,79,79
1508844122,80,80
1508845322,78,78
1508845922,65,65
1508846521,65,65
1508847721,45,45
1508848321,80,80
1508848921,80,80
1508849522,79,79
1508850121,74,74
1508851322,76,76
1508851921,80,80
1508852521,80,80
1508853122,80,80
1508853722,80,80
1508854322,77,77
1508854922,65,65
1508855522,27,27
1508856121,80,80
1508856722,73,73
1508857322,79,79
1508857922,80,80
1508858521,80,80
1508859122,75,75
1508859721,80,80
1508860922,74,74
1508862121,79,79
1508862721,80,80
1508863322,80,80
1508865122,66,66
1508865722,80,80
1508866922,79,79
1508867522,80,80
1508868121,78,78
1508868721,80,80
1508870522,79,79
1508871121,80,80
1508871722,75,75
1508872322,73,73
1508872921,80,80
1508873521,80,80
1508874121,80,80
1508874722,80,80
1508875321,66,66
1508875922,55,55
1508876522,64,64
1508877122,62,62
1508877722,64,64
1508878922,78,78
1508879522,80,80
1508880122,80,80
1508880721,80,80
1508881322,80,80
1508881922,80,80
1508882522,76,76
1508883722,68,68
1508884322,73,73
1508884921,79,79
1508885521,80,80
1508886122,80,80
1508886722,80,80
1508887321,80,80
1508887921,80,80
1508888522,80,80
1508889122,80,80
1508889722,80,80
1508890323,71,71
1508890922,80,80
1508892122,80,80
1508892721,80,80
1508893323,40,40
1508893922,31,31
1508894521,80,80
1508895121,80,80
1508895722,80,80
1508896322,80,80
1508896922,78,78
1508897522,80,80
1508898122,80,80
1508898722,80,80
1508899322,80,80
1508899922,80,80
1508900522,80,80
1508901122,80,80
1508901721,75,75
1508902322,32,32
1508902922,80,80
1508903522,79,79
1508904122,47,47
1508904721,73,73
1508905321,80,80
1508906522,79,79
1508907721,77,77
1508908322,80,80
1508908922,80,80
1508909521,70,70
1508910121,80,80
1508910722,78,78
1508911321,77,77
1508911921,79,79
1508912522,80,80
1508913722,75,75
1508914922,75,75
1508915522,80,80
1508916122,80,80
1508916722,80,80
1508917323,78,78
1508917922,75,75
1508918522,80,80
1508919122,80,80
1508919721,80,80
1508920322,75,75
1508920921,80,80
1508921521,80,80
1508922122,79,79
1508923321,80,80
1508923922,78,78
1508924522,71,71
1508925721,80,80
1508926322,80,80
1508926921,80,80
1508928121,78,78
1508928722,80,80
1508929322,80,80
1508930522,53,53
1508931121,77,77
1508931722,67,67
1508932922,67,67
1508933521,73,73
1508934122,74,74
1508934722,80,80
1508935321,80,80
1508935922,77,77
1508936521,80,80
1508937721,74,74
1508938322,79,79
1508938921,80,80
1508940122,78,78
1508940722,78,78
1508941322,28,28
1508942522,78,78
1508943122,72,72
1508943721,80,80
1508944922,68,68
1508946121,80,80
1508947921,78,78
1508948522,78,78
1508949121,78,78
1508949722,80,80
1508950321,80,80
1508950922,80,80
1508951522,78,78
1508952122,71,71
1508953321,76,76
1508953921,80,80
1508954522,80,80
1508955121,80,80
1508955721,80,80
1508956321,80,80
1508956922,76,76
1508957522,80,80
1508958121,79,79
1508958722,80,80
1508959322,80,80
1508959921,80,80
1508960522,46,46
1508961121,80,80
1508961721,80,80
1508962322,21,21
1508962922,80,80
1508963522,80,80
1508964122,71,71
1508965321,78,78
1508966522,76,76
1508967123,80,80
1508967722,68,68
1508968322,64,64
1508968922,77,77
1508970121,80,80
1508970721,77,77
1508971322,80,80
1508971921,79,79
1508972521,76,76
1508973121,78,78
1508973722,80,80
1508974922,80,80
1508976121,80,80
1508977322,74,74
1508977922,73,73
1508978521,54,54
1508979122,80,80
1508980321,79,79
1508980922,77,77
1508982123,79,79
1508982722,76,76
1508983322,80,80
1508984522,45,45
1508985121,77,77
1508985721,80,80
1508986922,60,60
1508987522,80,80
1508988121,80,80
1508989321,37,37
1508989922,79,79
1508990522,80,80
1508991722,80,80
1508992321,77,77
1508992921,80,80
1508993521,80,80
1508994121,80,80
1508994722,69,69
1508995321,49,49
1508995921,80,80
1508996522,80,80
1508997721,79,79
1508998322,80,80
1508998922,80,80
1509000121,70,70
1509000722,79,79
1509001321,80,80
1509001921,37,37
1509002522,79,79
1509003122,75,75
1509003721,80,80
1509004322,80,80
1509004922,80,80
1509006121,43,43
1509006721,76,76
1509007321,72,72
1509008521,80,80
1509009121,80,80
1509009721,78,78
1509010922,62,62
1509012121,75,75
1509012722,78,78
1509013322,80,80
1509013921,79,79
1509014521,77,77
1509015122,75,75
1509015722,80,80
1509016321,78,78
1509016921,79,79
1509017522,76,76
1509018121,80,80
1509019321,76,76
1509020521,74,74
1509021121,80,80
1509021722,80,80
1509022322,80,80
1509022921,78,78
1509024121,80,80
1509024721,80,80
1509025322,80,80
1509025921,71,71
1509026522,59,59
1509027121,73,73
1509027722,75,75
1509028922,63,63
1509030123,79,79
1509031322,64,64
1509032522,78,78
1509033721,80,80
1509034922,76,76
1509036122,80,80
1509037322,80,80
1509037922,80,80
1509038521,80,80
1509039122,71,71
1509039722,80,80
1509040922,70,70
1509041522,80,80
1509042121,75,75
1509042721,59,59
1509043322,80,80
1509043922,80,80
1509044522,76,76
1509045721,76,76
1509046321,80,80
1509046922,80,80
1509048122,80,80
1509049322,80,80
1509049922,80,80
1509050522,80,80
1509051721,78,78
1509052321,80,80
1509052922,80,80
1509054122,79,79
1509055321,78,78
1509055922,80,80
1509056521,80,80
1509057121,80,80
1509057721,80,80
1509058321,79,79
1509058921,80,80
1509060722,80,80
1509061321,80,80
1509061921,79,79
1509062522,80,80
1509063122,22,22
1509064322,76,76
1509064922,58,58
1509065522,65,65
1509066122,80,80
1509067322,80,80
1509067922,79,79
1509068521,78,78
1509069121,55,55
1509069721,79,79
1509070322,80,80
1509070922,80,80
1509071521,80,80
1509072122,74,74
1509072722,79,79
1509073322,80,80
1509073921,80,80
1509074521,75,75
1509075722,80,80
1509076922,78,78
1509078122,61,61
1509078722,80,80
1509079321,80,80
1509079923,80,80
1509080521,79,79
1509081721,72,72
1509082922,77,77
1509083521,76,76
1509084122,80,80
1509084722,79,79
1509085322,78,78
1509085921,70,70
1509086522,80,80
1509087121,77,77
1509087722,75,75
1509088322,80,80
1509088922,72,72
1509089522,79,79
1509090122,76,76
1509090722,77,77
1509091322,79,79
1509091921,77,77
1509092522,79,79
1509093122,75,75
1509093722,69,69
1509094921,79,79
1509095521,80,80
1509096122,78,78
1509096722,79,79
1509097322,10,10
1509098521,79,79
1509099121,80,80
1509099721,80,80
1509100322,79,79
1509100922,76,76
1509102122,80,80
1509102722,73,73
1509103322,80,80
1509104521,64,64
1509105122,72,72
1509105722,80,80
1509106322,80,80
1509106921,80,80
1509107522,72,72
1509108121,80,80
1509108721,80,80
1509109322,77,77
1509110522,59,59
1509111722,74,74
1509112922,80,80
1509113522,55,55
1509114121,80,80
1509114721,80,80
1509115321,79,79
1509115921,80,80
1509116522,78,78
1509117722,80,80
1509118921,72,72
1509120121,80,80
1509121321,80,80
1509121921,80,80
1509122522,45,45
1509123721,80,80
1509124921,80,80
1509126122,28,28
1509126722,78,78
1509127322,80,80
1509127921,57,57
1509128522,80,80
1509129121,80,80
1509129722,76,76
1509130922,72,72
1509131522,80,80
1509132122,79,79
1509132722,80,80
1509133321,79,79
1509134522,53,53
1509135121,42,42
1509135722,78,78
1509136922,80,80
1509137521,80,80
1509138121,80,80
1509139321,80,80
1509140522,76,76
1509141721,80,80
1509142321,80,80
1509142922,80,80
1509143522,74,74
1509144122,19,19
1509145322,76,76
1509145921,20,20
1509146522,80,80
1509147121,72,72
1509147721,80,80
1509148922,78,78
1509149522,80,80
1509150121,76,76
1509150722,45,45
1509151322,73,73
1509152521,80,80
1509153121,80,80
1509153722,77,77
1509154321,80,80
1509154922,80,80
1509155522,79,79
1509156122,80,80
1509157322,79,79
1509157922,80,80
1509158522,79,79
1509159121,75,75
1509159721,80,80
1509160922,80,80
1509161521,78,78
1509162121,55,55
1509162721,80,80
1509163322,76,76
1509164522,24,24
1509165722,79,79
1509166322,69,69
1509166922,79,79
1509168121,79,79
1509169322,77,77
1509170521,80,80
1509171122,64,64
1509171721,78,78
1509172921,79,79
1509173521,80,80
1509174121,80,80
1509174722,79,79
1509175321,79,79
1509176522,77,77
1509177721,79,79
1509178321,77,77
1509178922,73,73
1509179522,71,71
1509180121,78,78
1509180722,75,75
1509181322,73,73
1509182522,80,80
1509183722,79,79
1509184321,18,18
1509184922,80,80
1509186121,68,68
