DateTime,AddedIPs,RemovedIPs
1508784121,37,37
1508785322,57,57
1508785921,26,26
1508786521,27,27
1508787721,36,36
1508788321,14,14
1508788922,31,31
1508790121,56,56
1508791322,63,63
1508791922,21,21
1508792522,49,49
1508793122,54,54
1508793721,41,41
1508794321,26,26
1508794922,20,20
1508796121,56,56
1508797321,57,57
1508797921,20,20
1508798521,34,34
1508799121,26,26
1508799722,32,32
1508800921,59,59
1508801522,29,29
1508802121,12,12
1508803321,58,58
1508804522,43,43
1508805721,59,59
1508806921,53,53
1508807522,36,36
1508808122,31,31
1508808721,28,28
1508809322,32,32
1508810522,63,63
1508811121,52,52
1508811721,29,29
1508812921,40,40
1508814122,63,63
1508814722,32,32
1508815321,22,22
1508816521,55,55
1508817721,61,61
1508818322,28,28
1508818922,6,6
1508820122,56,56
1508821321,39,39
1508822522,50,50
1508823122,54,54
1508823722,29,29
1508824322,19,19
1508824921,10,10
1508825521,24,24
1508826121,30,30
1508826722,18,18
1508827322,16,16
1508829121,52,52
1508829722,22,22
1508830322,26,26
1508830921,17,17
1508831522,12,12
1508832122,32,32
1508832721,16,16
1508833322,7,7
1508834523,33,33
1508835722,34,34
1508836922,53,53
1508838122,42,42
1508838721,11,11
1508839321,20,20
1508840521,35,35
1508841121,26,26
1508841722,9,9
1508842322,7,7
1508842922,23,23
1508844122,59,59
1508845322,25,25
1508845922,7,7
1508846521,17,17
1508847721,21,21
1508848921,9,9
1508849522,44,44
1508850121,29,29
1508851322,17,17
1508851921,10,10
1508852521,10,10
1508853122,17,17
1508853722,58,58
1508854322,24,24
1508854922,9,9
1508856121,30,30
1508857322,28,28
1508857922,13,13
1508858521,18,18
1508859721,38,38
1508860921,29,29
1508862121,21,21
1508862721,20,20
1508863322,44,44
1508863922,37,37
1508865122,37,37
1508865722,21,21
1508866922,68,68
1508867522,41,41
1508868121,32,32
1508868721,15,15
1508870522,65,65
1508871121,34,34
1508871722,27,27
1508872322,33,33
1508872921,9,9
1508874121,48,48
1508874722,35,35
1508875321,23,23
1508875921,13,13
1508876522,37,37
1508877122,26,26
1508877722,23,23
1508878922,55,55
1508879522,37,37
1508880122,17,17
1508881322,65,65
1508881921,46,46
1508882521,46,46
1508883722,61,61
1508884322,25,25
1508884921,38,38
1508885521,30,30
1508886122,35,35
1508886722,33,33
1508887321,34,34
1508887921,25,25
1508888522,40,40
1508889122,28,28
1508889721,35,35
1508890922,42,42
1508891522,34,34
1508892122,52,52
1508893322,47,47
1508893922,46,46
1508894521,26,26
1508895121,22,22
1508895722,25,25
1508896922,64,64
1508897522,26,26
1508898122,34,34
1508898722,36,36
1508899322,36,36
1508900522,67,67
1508901721,70,70
1508902322,35,35
1508902922,50,50
1508903522,32,32
1508904122,30,30
1508904721,22,22
1508905321,21,21
1508906522,33,33
1508907721,36,36
1508908922,16,16
1508909521,8,8
1508910121,22,22
1508910722,18,18
1508911321,10,10
1508911921,15,15
1508912522,12,12
1508913122,22,22
1508913722,19,19
1508914321,6,6
1508914922,12,12
1508915522,23,23
1508916122,7,7
1508916722,3,3
1508917323,15,15
1508917922,40,40
1508918521,21,21
1508919122,5,5
1508919721,9,9
1508920322,11,11
1508920921,17,17
1508921521,10,10
1508922122,8,8
1508922721,19,19
1508923321,9,9
1508923922,14,14
1508924522,27,27
1508925721,38,38
1508926322,18,18
1508926921,11,11
1508928121,17,17
1508929322,23,23
1508930522,35,35
1508931722,21,21
1508932321,2,2
1508932921,2,2
1508933521,7,7
1508934122,13,13
1508935321,17,17
1508935922,8,8
1508936521,2,2
1508937721,9,9
1508938322,2,2
1508938921,3,3
1508940122,18,18
1508941322,4,4
1508942522,23,23
1508943122,12,12
1508943721,5,5
1508944321,12,12
1508944922,4,4
1508946121,17,17
1508947322,37,37
1508947921,7,7
1508948521,13,13
1508949121,28,28
1508949722,11,11
1508950921,23,23
1508952122,15,15
1508953321,17,17
1508953921,6,6
1508954522,26,26
1508955721,14,14
1508956921,15,15
1508957522,8,8
1508958121,2,2
1508959322,43,43
1508960521,8,8
1508961721,30,30
1508962322,15,15
1508962922,22,22
1508963522,25,25
1508964121,24,24
1508965321,30,30
1508966522,41,41
1508967123,28,28
1508967722,36,36
1508968922,47,47
1508970121,63,63
1508970721,27,27
1508971321,27,27
1508972521,37,37
1508973121,13,13
1508973722,37,37
1508974321,21,21
1508974922,25,25
1508976121,62,62
1508977322,48,48
1508978521,33,33
1508980321,45,45
1508980922,16,16
1508982123,46,46
1508983322,28,28
1508983922,20,20
1508984522,10,10
1508985721,44,44
1508986922,31,31
1508988121,35,35
1508989321,15,15
1508989922,15,15
1508990522,8,8
1508991722,49,49
1508992321,21,21
1508992921,10,10
1508993521,3,3
1508994121,4,4
1508994722,26,26
1508995321,7,7
1508996522,42,42
1508997721,33,33
1508998922,14,14
1508999522,18,18
1509000121,17,17
1509000722,2,2
1509001321,10,10
1509001921,5,5
1509002522,27,27
1509003122,12,12
1509003721,2,2
1509004922,16,16
1509006121,35,35
1509007321,35,35
1509008521,43,43
1509009721,26,26
1509010322,7,7
1509010922,30,30
1509012121,38,38
1509012721,17,17
1509013322,13,13
1509013921,13,13
1509014521,20,20
1509015722,20,20
1509016921,32,32
1509017522,23,23
1509018121,20,20
1509019321,40,40
1509020521,29,29
1509021121,24,24
1509021722,6,6
1509022921,27,27
1509024121,24,24
1509024721,16,16
1509025322,4,4
1509025921,11,11
1509026522,36,36
1509027121,11,11
1509027722,18,18
1509028922,28,28
1509029521,18,18
1509030123,37,37
1509031322,31,31
1509031922,17,17
1509032522,35,35
1509033721,31,31
1509034322,7,7
1509034922,35,35
1509036122,63,63
1509036721,47,47
1509037322,14,14
1509038521,68,68
1509039722,46,46
1509040922,53,53
1509041522,25,25
1509042121,19,19
1509042721,15,15
1509043322,26,26
1509043922,17,17
1509044522,45,45
1509045721,57,57
1509046321,34,34
1509046922,46,46
1509048122,47,47
1509048722,43,43
1509049322,23,23
1509050521,31,31
1509051721,73,73
1509052922,61,61
1509054122,42,42
1509054721,22,22
1509055321,26,26
1509055921,37,37
1509056521,23,23
1509057121,23,23
1509057721,40,40
1509058321,37,37
1509058921,20,20
1509060722,65,65
1509061921,50,50
1509062522,25,25
1509063122,21,21
1509063723,34,34
1509064322,42,42
1509064922,47,47
1509065522,32,32
1509066122,21,21
1509066722,23,23
1509067322,25,25
1509067922,56,56
1509068521,24,24
1509069121,23,23
1509069721,54,54
1509070322,33,33
1509070922,23,23
1509071521,19,19
1509072122,16,16
1509072722,31,31
1509073321,38,38
1509074521,59,59
1509075722,58,58
1509076322,37,37
1509076922,33,33
1509077521,37,37
1509078122,31,31
1509078722,8,8
1509079321,18,18
1509079923,18,18
1509080521,32,32
1509081721,52,52
1509082922,19,19
1509083521,12,12
1509084122,33,33
1509084722,23,23
1509085322,16,16
1509085921,20,20
1509086522,31,31
1509087722,36,36
1509088922,37,37
1509089522,15,15
1509090122,18,18
1509091322,52,52
1509091921,32,32
1509092522,34,34
1509093722,33,33
1509094921,23,23
1509095521,15,15
1509096122,29,29
1509097322,68,68
1509097921,46,46
1509098521,30,30
1509099121,26,26
1509099721,8,8
1509100922,46,46
1509102122,41,41
1509102722,59,59
1509103322,39,39
1509104521,52,52
1509105722,47,47
1509106322,22,22
1509106921,44,44
1509107522,41,41
1509108121,43,43
1509108721,41,41
1509109322,40,40
1509109921,52,52
1509110522,23,23
1509111722,53,53
1509112922,55,55
1509114121,72,72
1509114721,30,30
1509115321,32,32
1509115921,19,19
1509116522,22,22
1509117721,29,29
1509118921,72,72
1509119522,39,39
1509120121,37,37
1509121321,62,62
1509121921,22,22
1509122522,15,15
1509123122,55,55
1509123721,31,31
1509124921,65,65
1509125522,22,22
1509126122,58,58
1509126722,12,12
1509127321,24,24
1509128522,44,44
1509129121,17,17
1509129722,34,34
1509130922,38,38
1509131521,18,18
1509132122,19,19
1509133321,62,62
1509134522,53,53
1509135722,35,35
1509136922,56,56
1509137521,39,39
1509138121,33,33
1509139321,68,68
1509140522,62,62
1509141721,48,48
1509142321,23,23
1509142922,33,33
1509143522,25,25
1509144122,22,22
1509145322,45,45
1509146522,62,62
1509147121,16,16
1509147721,25,25
1509148922,72,72
1509149522,40,40
1509150121,50,50
1509150722,48,48
1509151322,24,24
1509151922,13,13
1509152521,31,31
1509153721,55,55
1509154321,42,42
1509154922,47,47
1509156122,41,41
1509157322,38,38
1509158522,35,35
1509159721,52,52
1509160922,30,30
1509161521,17,17
1509162121,25,25
1509162721,27,27
1509163322,23,23
1509164522,27,27
1509165722,13,13
1509166921,32,32
1509168121,60,60
